level,run,variant,source,case,region,role,samples,run_count,median_us,p95_us,min_run_median_us,max_run_median_us,run_median_spread_us,run_median_spread_percent,baseline_median_us,delta_us,delta_percent,target_metric,allocation_status,median_bytes_per_iteration
run,run03-view,view,registration,live32,unregistered,representative,8,1,0.0481689453125,0.07009033203125,,,,,,,,False,unavailable,
run,run03-view,view,registration,live512,late_duplicate,stress,8,1,0.65498046875,0.668487548828125,,,,,,,,False,unavailable,
run,run03-view,view,registration,live512,unregistered,stress,8,1,0.64923095703125,0.665853271484375,,,,,,,,False,unavailable,
run,run04-colliders,colliders,physics,box,adopt_colliders,representative,64,1,2.6,2.7,,,,,,,,True,unavailable,
run,run04-colliders,colliders,physics,box,box_mass_divide,representative,8,1,3.742724609375,4.0038671875,,,,,,,,False,unavailable,
run,run04-colliders,colliders,physics,box,prepare_colliders,representative,64,1,4.3,4.984999999999999,,,,,,,,True,unavailable,
run,run04-colliders,colliders,physics,box,provisional_build,representative,64,1,34.9,37.4,,,,,,,,False,unavailable,
run,run04-colliders,colliders,physics,box,shape_pair_create_dispose,representative,8,1,1.6904296875,1.8255664062499999,,,,,,,,False,unavailable,
run,run04-colliders,colliders,physics,character,adopt_colliders,representative,64,1,10.4,10.87,,,,,,,,True,unavailable,
run,run04-colliders,colliders,physics,character,box_mass_divide,representative,8,1,3.755712890625,3.820751953125,,,,,,,,False,unavailable,
run,run04-colliders,colliders,physics,character,prepare_colliders,representative,64,1,18.7,20.5,,,,,,,,True,unavailable,
run,run04-colliders,colliders,physics,character,provisional_build,representative,64,1,73.0,83.68499999999996,,,,,,,,False,unavailable,
run,run04-colliders,colliders,physics,character,shape_pair_create_dispose,representative,8,1,5.241992187499999,5.488046875,,,,,,,,False,unavailable,
run,run04-colliders,colliders,registration,highwater2048_live16,late_duplicate,stress,8,1,2.216650390625,2.2557617187499996,,,,,,,,False,unavailable,
run,run04-colliders,colliders,registration,highwater2048_live16,unregistered,stress,8,1,1.871484375,1.989093017578125,,,,,,,,False,unavailable,
run,run04-colliders,colliders,registration,live16,late_duplicate,representative,8,1,0.0203857421875,0.020401611328125,,,,,,,,False,unavailable,
run,run04-colliders,colliders,registration,live16,unregistered,representative,8,1,0.02017822265625,0.0283837890625,,,,,,,,False,unavailable,
run,run04-colliders,colliders,registration,live32,late_duplicate,representative,8,1,0.048291015625,0.048355712890625,,,,,,,,False,unavailable,
run,run04-colliders,colliders,registration,live32,unregistered,representative,8,1,0.04820556640625,0.049642333984374995,,,,,,,,False,unavailable,
run,run04-colliders,colliders,registration,live512,late_duplicate,stress,8,1,0.65013427734375,0.6770104980468751,,,,,,,,False,unavailable,
run,run04-colliders,colliders,registration,live512,unregistered,stress,8,1,0.646337890625,0.666234130859375,,,,,,,,False,unavailable,
run,run05-mass,mass,physics,box,adopt_colliders,representative,64,1,3.1,3.6,,,,,,,,False,unavailable,
run,run05-mass,mass,physics,box,box_mass_divide,representative,8,1,4.0462890625,4.106640625,,,,,,,,True,unavailable,
run,run05-mass,mass,physics,box,prepare_colliders,representative,64,1,5.55,7.054999999999998,,,,,,,,False,unavailable,
run,run05-mass,mass,physics,box,provisional_build,representative,64,1,42.7,49.55999999999999,,,,,,,,True,unavailable,
run,run05-mass,mass,physics,box,shape_pair_create_dispose,representative,8,1,2.0074218750000004,2.0501953125,,,,,,,,False,unavailable,
run,run05-mass,mass,physics,character,adopt_colliders,representative,64,1,11.4,11.9,,,,,,,,False,unavailable,
