run,case,round,order,version,ticks,freq,iterations
"player10",box,0,0,candidate,2450,10000000,1024
"player10",box,0,1,baseline,5663,10000000,1024
"player10",box,0,2,baseline,5870,10000000,1024
"player10",box,0,3,candidate,2455,10000000,1024
"player10",box,1,0,candidate,2526,10000000,1024
"player10",box,1,1,baseline,5649,10000000,1024
"player10",box,1,2,baseline,5641,10000000,1024
"player10",box,1,3,candidate,2451,10000000,1024
"player10",box,2,0,candidate,2460,10000000,1024
"player10",box,2,1,baseline,5642,10000000,1024
"player10",box,2,2,baseline,5640,10000000,1024
"player10",box,2,3,candidate,2453,10000000,1024
"player10",box,3,0,candidate,2464,10000000,1024
"player10",box,3,1,baseline,5683,10000000,1024
"player10",box,3,2,baseline,5642,10000000,1024
"player10",box,3,3,candidate,2452,10000000,1024
"player10",box,4,0,candidate,2469,10000000,1024
"player10",box,4,1,baseline,5949,10000000,1024
"player10",box,4,2,baseline,5631,10000000,1024
"player10",box,4,3,candidate,2453,10000000,1024
"player10",box,5,0,candidate,2457,10000000,1024
"player10",box,5,1,baseline,5637,10000000,1024
"player10",box,5,2,baseline,5631,10000000,1024
"player10",box,5,3,candidate,2451,10000000,1024
"player10",box,6,0,candidate,2458,10000000,1024
"player10",box,6,1,baseline,5647,10000000,1024
"player10",box,6,2,baseline,5650,10000000,1024
"player10",box,6,3,candidate,2453,10000000,1024
"player10",box,7,0,candidate,2835,10000000,1024
"player10",box,7,1,baseline,5904,10000000,1024
"player10",box,7,2,baseline,5654,10000000,1024
"player10",box,7,3,candidate,2469,10000000,1024
"player10",character,0,0,candidate,2454,10000000,1024
"player10",character,0,1,baseline,5806,10000000,1024
"player10",character,0,2,baseline,5826,10000000,1024
"player10",character,0,3,candidate,2453,10000000,1024
"player10",character,1,0,candidate,2470,10000000,1024
"player10",character,1,1,baseline,5757,10000000,1024
"player10",character,1,2,baseline,6015,10000000,1024
"player10",character,1,3,candidate,2658,10000000,1024
"player10",character,2,0,candidate,2458,10000000,1024
"player10",character,2,1,baseline,5831,10000000,1024
"player10",character,2,2,baseline,5828,10000000,1024
"player10",character,2,3,candidate,2452,10000000,1024
"player10",character,3,0,candidate,2460,10000000,1024
"player10",character,3,1,baseline,5808,10000000,1024
"player10",character,3,2,baseline,5799,10000000,1024
"player10",character,3,3,candidate,2451,10000000,1024
"player10",character,4,0,candidate,2505,10000000,1024
"player10",character,4,1,baseline,6056,10000000,1024
"player10",character,4,2,baseline,5803,10000000,1024
"player10",character,4,3,candidate,2509,10000000,1024
"player10",character,5,0,candidate,2480,10000000,1024
"player10",character,5,1,baseline,5875,10000000,1024
"player10",character,5,2,baseline,6130,10000000,1024
"player10",character,5,3,candidate,2467,10000000,1024
"player10",character,6,0,candidate,2460,10000000,1024
"player10",character,6,1,baseline,5762,10000000,1024
"player10",character,6,2,baseline,5760,10000000,1024
"player10",character,6,3,candidate,2456,10000000,1024
"player10",character,7,0,candidate,2694,10000000,1024
"player10",character,7,1,baseline,6061,10000000,1024
"player10",character,7,2,baseline,5766,10000000,1024
"player10",character,7,3,candidate,2455,10000000,1024
