run,case,mesh_slots,round,order,region,version,ticks,freq,iterations,native_arrays,payload_bytes,cleared_payload_bytes
"player10",box,2,0,-1,empty_batch,empty,1,10000000,1024,0,0,0
"player10",box,2,0,0,allocation_release,candidate,1403,10000000,1024,1,72,72
"player10",box,2,0,1,allocation_release,baseline,5702,10000000,1024,4,66,2
"player10",box,2,0,2,allocation_release,baseline,5778,10000000,1024,4,66,2
"player10",box,2,0,3,allocation_release,candidate,1410,10000000,1024,1,72,72
"player10",box,2,1,-1,empty_batch,empty,0,10000000,1024,0,0,0
"player10",box,2,1,0,allocation_release,candidate,1434,10000000,1024,1,72,72
"player10",box,2,1,1,allocation_release,baseline,5743,10000000,1024,4,66,2
"player10",box,2,1,2,allocation_release,baseline,5690,10000000,1024,4,66,2
"player10",box,2,1,3,allocation_release,candidate,1406,10000000,1024,1,72,72
"player10",box,2,2,-1,empty_batch,empty,0,10000000,1024,0,0,0
"player10",box,2,2,0,allocation_release,candidate,1422,10000000,1024,1,72,72
"player10",box,2,2,1,allocation_release,baseline,5711,10000000,1024,4,66,2
"player10",box,2,2,2,allocation_release,baseline,5668,10000000,1024,4,66,2
"player10",box,2,2,3,allocation_release,candidate,1405,10000000,1024,1,72,72
"player10",box,2,3,-1,empty_batch,empty,0,10000000,1024,0,0,0
"player10",box,2,3,0,allocation_release,candidate,1415,10000000,1024,1,72,72
"player10",box,2,3,1,allocation_release,baseline,5704,10000000,1024,4,66,2
"player10",box,2,3,2,allocation_release,baseline,5667,10000000,1024,4,66,2
"player10",box,2,3,3,allocation_release,candidate,1397,10000000,1024,1,72,72
"player10",box,2,4,-1,empty_batch,empty,0,10000000,1024,0,0,0
"player10",box,2,4,0,allocation_release,candidate,1446,10000000,1024,1,72,72
"player10",box,2,4,1,allocation_release,baseline,5747,10000000,1024,4,66,2
"player10",box,2,4,2,allocation_release,baseline,5671,10000000,1024,4,66,2
"player10",box,2,4,3,allocation_release,candidate,1394,10000000,1024,1,72,72
"player10",box,2,5,-1,empty_batch,empty,1,10000000,1024,0,0,0
"player10",box,2,5,0,allocation_release,candidate,1431,10000000,1024,1,72,72
"player10",box,2,5,1,allocation_release,baseline,5770,10000000,1024,4,66,2
"player10",box,2,5,2,allocation_release,baseline,5703,10000000,1024,4,66,2
"player10",box,2,5,3,allocation_release,candidate,1412,10000000,1024,1,72,72
"player10",box,2,6,-1,empty_batch,empty,0,10000000,1024,0,0,0
"player10",box,2,6,0,allocation_release,candidate,1440,10000000,1024,1,72,72
"player10",box,2,6,1,allocation_release,baseline,5744,10000000,1024,4,66,2
"player10",box,2,6,2,allocation_release,baseline,5913,10000000,1024,4,66,2
"player10",box,2,6,3,allocation_release,candidate,1413,10000000,1024,1,72,72
"player10",box,2,7,-1,empty_batch,empty,0,10000000,1024,0,0,0
"player10",box,2,7,0,allocation_release,candidate,1452,10000000,1024,1,72,72
"player10",box,2,7,1,allocation_release,baseline,5802,10000000,1024,4,66,2
"player10",box,2,7,2,allocation_release,baseline,5670,10000000,1024,4,66,2
"player10",box,2,7,3,allocation_release,candidate,1408,10000000,1024,1,72,72
"player10",character,10,0,-1,empty_batch,empty,0,10000000,1024,0,0,0
"player10",character,10,0,0,allocation_release,candidate,1469,10000000,1024,1,360,360
"player10",character,10,0,1,allocation_release,baseline,5680,10000000,1024,4,330,10
"player10",character,10,0,2,allocation_release,baseline,5772,10000000,1024,4,330,10
"player10",character,10,0,3,allocation_release,candidate,1466,10000000,1024,1,360,360
"player10",character,10,1,-1,empty_batch,empty,0,10000000,1024,0,0,0
"player10",character,10,1,0,allocation_release,candidate,1483,10000000,1024,1,360,360
"player10",character,10,1,1,allocation_release,baseline,5720,10000000,1024,4,330,10
"player10",character,10,1,2,allocation_release,baseline,5669,10000000,1024,4,330,10
"player10",character,10,1,3,allocation_release,candidate,1462,10000000,1024,1,360,360
"player10",character,10,2,-1,empty_batch,empty,0,10000000,1024,0,0,0
"player10",character,10,2,0,allocation_release,candidate,1502,10000000,1024,1,360,360
"player10",character,10,2,1,allocation_release,baseline,5703,10000000,1024,4,330,10
"player10",character,10,2,2,allocation_release,baseline,5673,10000000,1024,4,330,10
"player10",character,10,2,3,allocation_release,candidate,1458,10000000,1024,1,360,360
"player10",character,10,3,-1,empty_batch,empty,1,10000000,1024,0,0,0
"player10",character,10,3,0,allocation_release,candidate,1484,10000000,1024,1,360,360
"player10",character,10,3,1,allocation_release,baseline,5686,10000000,1024,4,330,10
"player10",character,10,3,2,allocation_release,baseline,5677,10000000,1024,4,330,10
"player10",character,10,3,3,allocation_release,candidate,1458,10000000,1024,1,360,360
"player10",character,10,4,-1,empty_batch,empty,0,10000000,1024,0,0,0
"player10",character,10,4,0,allocation_release,candidate,1476,10000000,1024,1,360,360
"player10",character,10,4,1,allocation_release,baseline,5686,10000000,1024,4,330,10
"player10",character,10,4,2,allocation_release,baseline,5659,10000000,1024,4,330,10
"player10",character,10,4,3,allocation_release,candidate,1456,10000000,1024,1,360,360
"player10",character,10,5,-1,empty_batch,empty,0,10000000,1024,0,0,0
"player10",character,10,5,0,allocation_release,candidate,1477,10000000,1024,1,360,360
"player10",character,10,5,1,allocation_release,baseline,5675,10000000,1024,4,330,10
"player10",character,10,5,2,allocation_release,baseline,5659,10000000,1024,4,330,10
"player10",character,10,5,3,allocation_release,candidate,1455,10000000,1024,1,360,360
"player10",character,10,6,-1,empty_batch,empty,0,10000000,1024,0,0,0
"player10",character,10,6,0,allocation_release,candidate,1470,10000000,1024,1,360,360
"player10",character,10,6,1,allocation_release,baseline,5668,10000000,1024,4,330,10
"player10",character,10,6,2,allocation_release,baseline,5731,10000000,1024,4,330,10
"player10",character,10,6,3,allocation_release,candidate,1455,10000000,1024,1,360,360
"player10",character,10,7,-1,empty_batch,empty,0,10000000,1024,0,0,0
"player10",character,10,7,0,allocation_release,candidate,1482,10000000,1024,1,360,360
"player10",character,10,7,1,allocation_release,baseline,5847,10000000,1024,4,330,10
"player10",character,10,7,2,allocation_release,baseline,5775,10000000,1024,4,330,10
"player10",character,10,7,3,allocation_release,candidate,1472,10000000,1024,1,360,360
