case,case_order,round,order,mode,warmup,span_id,span,ticks,thread_cycles,count,frequency,positive_colliders,negative_colliders,build_positive_first,activate_positive_first,published,validated,cleaned
box,0,-1,0,2,1,0,buildtotal,583,122896,1,10000000,1,1,1,1,1,1,1
box,0,-1,0,2,1,1,objects+,228,48411,1,10000000,1,1,1,1,1,1,1
box,0,-1,0,2,1,2,objects-,84,17850,1,10000000,1,1,1,1,1,1,1
box,0,-1,0,2,1,3,colliders+,23,5245,1,10000000,1,1,1,1,1,1,1
box,0,-1,0,2,1,4,colliders-,12,2791,1,10000000,1,1,1,1,1,1,1
box,0,-1,0,2,1,5,publishtotal,556,117237,1,10000000,1,1,1,1,1,1,1
box,0,-1,0,2,1,6,SetActive+,304,64511,1,10000000,1,1,1,1,1,1,1
box,0,-1,0,2,1,7,SetActive-,33,7182,1,10000000,1,1,1,1,1,1,1
box,0,-1,0,2,1,8,BuildSide+,283,59465,1,10000000,1,1,1,1,1,1,1
box,0,-1,0,2,1,9,BuildSide-,103,21623,1,10000000,1,1,1,1,1,1,1
box,0,-1,0,2,1,10,newRoot+,75,16295,1,10000000,1,1,1,1,1,1,1
box,0,-1,0,2,1,11,newRoot-,27,5848,1,10000000,1,1,1,1,1,1,1
box,0,-1,1,3,1,0,buildtotal,452,95337,1,10000000,1,1,0,1,1,1,1
box,0,-1,1,3,1,1,objects+,72,15360,1,10000000,1,1,0,1,1,1,1
box,0,-1,1,3,1,2,objects-,170,36135,1,10000000,1,1,0,1,1,1,1
box,0,-1,1,3,1,3,colliders+,22,4998,1,10000000,1,1,0,1,1,1,1
box,0,-1,1,3,1,4,colliders-,18,4102,1,10000000,1,1,0,1,1,1,1
box,0,-1,1,3,1,5,publishtotal,382,80573,1,10000000,1,1,0,1,1,1,1
box,0,-1,1,3,1,6,SetActive+,219,46712,1,10000000,1,1,0,1,1,1,1
box,0,-1,1,3,1,7,SetActive-,34,7553,1,10000000,1,1,0,1,1,1,1
box,0,-1,1,3,1,8,BuildSide+,101,21247,1,10000000,1,1,0,1,1,1,1
box,0,-1,1,3,1,9,BuildSide-,206,43355,1,10000000,1,1,0,1,1,1,1
box,0,-1,1,3,1,10,newRoot+,24,5305,1,10000000,1,1,0,1,1,1,1
box,0,-1,1,3,1,11,newRoot-,50,11006,1,10000000,1,1,0,1,1,1,1
box,0,-1,2,1,1,0,buildtotal,479,101361,1,10000000,1,1,0,0,1,1,1
box,0,-1,2,1,1,1,objects+,72,15355,1,10000000,1,1,0,0,1,1,1
box,0,-1,2,1,1,2,objects-,172,36482,1,10000000,1,1,0,0,1,1,1
box,0,-1,2,1,1,3,colliders+,13,3054,1,10000000,1,1,0,0,1,1,1
box,0,-1,2,1,1,4,colliders-,20,4469,1,10000000,1,1,0,0,1,1,1
box,0,-1,2,1,1,5,publishtotal,358,75434,1,10000000,1,1,0,0,1,1,1
box,0,-1,2,1,1,6,SetActive+,132,28039,1,10000000,1,1,0,0,1,1,1
box,0,-1,2,1,1,7,SetActive-,97,20775,1,10000000,1,1,0,0,1,1,1
box,0,-1,2,1,1,8,BuildSide+,92,19268,1,10000000,1,1,0,0,1,1,1
box,0,-1,2,1,1,9,BuildSide-,205,43041,1,10000000,1,1,0,0,1,1,1
box,0,-1,2,1,1,10,newRoot+,21,4736,1,10000000,1,1,0,0,1,1,1
box,0,-1,2,1,1,11,newRoot-,53,11470,1,10000000,1,1,0,0,1,1,1
box,0,-1,3,0,1,0,buildtotal,446,94788,1,10000000,1,1,1,0,1,1,1
box,0,-1,3,0,1,1,objects+,152,32366,1,10000000,1,1,1,0,1,1,1
box,0,-1,3,0,1,2,objects-,78,16550,1,10000000,1,1,1,0,1,1,1
box,0,-1,3,0,1,3,colliders+,18,4078,1,10000000,1,1,1,0,1,1,1
box,0,-1,3,0,1,4,colliders-,10,2404,1,10000000,1,1,1,0,1,1,1
box,0,-1,3,0,1,5,publishtotal,371,78155,1,10000000,1,1,1,0,1,1,1
box,0,-1,3,0,1,6,SetActive+,135,28820,1,10000000,1,1,1,0,1,1,1
box,0,-1,3,0,1,7,SetActive-,86,18549,1,10000000,1,1,1,0,1,1,1
box,0,-1,3,0,1,8,BuildSide+,183,38394,1,10000000,1,1,1,0,1,1,1
box,0,-1,3,0,1,9,BuildSide-,94,19787,1,10000000,1,1,1,0,1,1,1
box,0,-1,3,0,1,10,newRoot+,42,9122,1,10000000,1,1,1,0,1,1,1
box,0,-1,3,0,1,11,newRoot-,26,5650,1,10000000,1,1,1,0,1,1,1
box,0,0,0,2,0,0,buildtotal,495,104992,1,10000000,1,1,1,1,1,1,1
box,0,0,0,2,0,1,objects+,184,39137,1,10000000,1,1,1,1,1,1,1
box,0,0,0,2,0,2,objects-,72,15407,1,10000000,1,1,1,1,1,1,1
box,0,0,0,2,0,3,colliders+,20,4439,1,10000000,1,1,1,1,1,1,1
box,0,0,0,2,0,4,colliders-,9,2233,1,10000000,1,1,1,1,1,1,1
box,0,0,0,2,0,5,publishtotal,355,74897,1,10000000,1,1,1,1,1,1,1
box,0,0,0,2,0,6,SetActive+,198,42009,1,10000000,1,1,1,1,1,1,1
box,0,0,0,2,0,7,SetActive-,29,6460,1,10000000,1,1,1,1,1,1,1
box,0,0,0,2,0,8,BuildSide+,218,45818,1,10000000,1,1,1,1,1,1,1
box,0,0,0,2,0,9,BuildSide-,88,18480,1,10000000,1,1,1,1,1,1,1
box,0,0,0,2,0,10,newRoot+,46,10045,1,10000000,1,1,1,1,1,1,1
box,0,0,0,2,0,11,newRoot-,23,5156,1,10000000,1,1,1,1,1,1,1
box,0,0,1,3,0,0,buildtotal,444,95644,1,10000000,1,1,0,1,1,1,1
box,0,0,1,3,0,1,objects+,76,16229,1,10000000,1,1,0,1,1,1,1
box,0,0,1,3,0,2,objects-,161,34098,1,10000000,1,1,0,1,1,1,1
box,0,0,1,3,0,3,colliders+,10,2331,1,10000000,1,1,0,1,1,1,1
box,0,0,1,3,0,4,colliders-,21,4799,1,10000000,1,1,0,1,1,1,1
box,0,0,1,3,0,5,publishtotal,357,75332,1,10000000,1,1,0,1,1,1,1
box,0,0,1,3,0,6,SetActive+,200,42466,1,10000000,1,1,0,1,1,1,1
box,0,0,1,3,0,7,SetActive-,32,6933,1,10000000,1,1,0,1,1,1,1
box,0,0,1,3,0,8,BuildSide+,93,19428,1,10000000,1,1,0,1,1,1,1
box,0,0,1,3,0,9,BuildSide-,193,40584,1,10000000,1,1,0,1,1,1,1
box,0,0,1,3,0,10,newRoot+,26,5799,1,10000000,1,1,0,1,1,1,1
box,0,0,1,3,0,11,newRoot-,42,9301,1,10000000,1,1,0,1,1,1,1
box,0,0,2,1,0,0,buildtotal,530,112965,1,10000000,1,1,0,0,1,1,1
box,0,0,2,1,0,1,objects+,81,17229,1,10000000,1,1,0,0,1,1,1
box,0,0,2,1,0,2,objects-,183,38949,1,10000000,1,1,0,0,1,1,1
box,0,0,2,1,0,3,colliders+,12,2740,1,10000000,1,1,0,0,1,1,1
box,0,0,2,1,0,4,colliders-,20,4520,1,10000000,1,1,0,0,1,1,1
box,0,0,2,1,0,5,publishtotal,503,106136,1,10000000,1,1,0,0,1,1,1
box,0,0,2,1,0,6,SetActive+,187,40109,1,10000000,1,1,0,0,1,1,1
box,0,0,2,1,0,7,SetActive-,104,22326,1,10000000,1,1,0,0,1,1,1
box,0,0,2,1,0,8,BuildSide+,99,20805,1,10000000,1,1,0,0,1,1,1
box,0,0,2,1,0,9,BuildSide-,221,46521,1,10000000,1,1,0,0,1,1,1
box,0,0,2,1,0,10,newRoot+,25,5551,1,10000000,1,1,0,0,1,1,1
box,0,0,2,1,0,11,newRoot-,52,11356,1,10000000,1,1,0,0,1,1,1
box,0,0,3,0,0,0,buildtotal,454,95864,1,10000000,1,1,1,0,1,1,1
box,0,0,3,0,0,1,objects+,176,37233,1,10000000,1,1,1,0,1,1,1
box,0,0,3,0,0,2,objects-,69,14848,1,10000000,1,1,1,0,1,1,1
box,0,0,3,0,0,3,colliders+,20,4596,1,10000000,1,1,1,0,1,1,1
box,0,0,3,0,0,4,colliders-,9,2037,1,10000000,1,1,1,0,1,1,1
box,0,0,3,0,0,5,publishtotal,367,77435,1,10000000,1,1,1,0,1,1,1
box,0,0,3,0,0,6,SetActive+,141,30065,1,10000000,1,1,1,0,1,1,1
