run,case,mesh_slots,round,order,region,version,ticks,freq,iterations,native_arrays,payload_bytes,cleared_payload_bytes
"editor-smoke2",character,10,4,3,allocation_release,baseline,9971,10000000,1024,4,330,10
"editor-smoke2",character,10,5,-1,empty_batch,empty,10,10000000,1024,0,0,0
"editor-smoke2",character,10,5,0,allocation_release,baseline,10076,10000000,1024,4,330,10
"editor-smoke2",character,10,5,1,allocation_release,candidate,2665,10000000,1024,1,360,360
"editor-smoke2",character,10,5,2,allocation_release,candidate,2666,10000000,1024,1,360,360
"editor-smoke2",character,10,5,3,allocation_release,baseline,9864,10000000,1024,4,330,10
"editor-smoke2",character,10,6,-1,empty_batch,empty,9,10000000,1024,0,0,0
"editor-smoke2",character,10,6,0,allocation_release,baseline,10180,10000000,1024,4,330,10
"editor-smoke2",character,10,6,1,allocation_release,candidate,2772,10000000,1024,1,360,360
"editor-smoke2",character,10,6,2,allocation_release,candidate,2710,10000000,1024,1,360,360
"editor-smoke2",character,10,6,3,allocation_release,baseline,10228,10000000,1024,4,330,10
"editor-smoke2",character,10,7,-1,empty_batch,empty,9,10000000,1024,0,0,0
"editor-smoke2",character,10,7,0,allocation_release,baseline,10306,10000000,1024,4,330,10
"editor-smoke2",character,10,7,1,allocation_release,candidate,2847,10000000,1024,1,360,360
"editor-smoke2",character,10,7,2,allocation_release,candidate,2743,10000000,1024,1,360,360
"editor-smoke2",character,10,7,3,allocation_release,baseline,10509,10000000,1024,4,330,10
