case,case_order,round,order,mode,warmup,span_id,span,ticks,thread_cycles,count,frequency,positive_colliders,negative_colliders,build_positive_first,activate_positive_first,published,validated,cleaned
box,0,0,1,1,0,8,BuildSide+,160,33713,1,10000000,1,1,0,0,1,1,1
box,0,0,1,1,0,9,BuildSide-,416,87484,1,10000000,1,1,0,0,1,1,1
box,0,0,1,1,0,10,newRoot+,37,8119,1,10000000,1,1,0,0,1,1,1
box,0,0,1,1,0,11,newRoot-,110,23819,1,10000000,1,1,0,0,1,1,1
box,0,0,2,3,0,0,buildtotal,849,178956,1,10000000,1,1,0,1,1,1,1
box,0,0,2,3,0,1,objects+,135,28634,1,10000000,1,1,0,1,1,1,1
box,0,0,2,3,0,2,objects-,366,77263,1,10000000,1,1,0,1,1,1,1
box,0,0,2,3,0,3,colliders+,21,4832,1,10000000,1,1,0,1,1,1,1
box,0,0,2,3,0,4,colliders-,55,12119,1,10000000,1,1,0,1,1,1,1
box,0,0,2,3,0,5,publishtotal,522,109941,1,10000000,1,1,0,1,1,1,1
box,0,0,2,3,0,6,SetActive+,272,57976,1,10000000,1,1,0,1,1,1,1
box,0,0,2,3,0,7,SetActive-,52,11398,1,10000000,1,1,0,1,1,1,1
box,0,0,2,3,0,8,BuildSide+,168,35013,1,10000000,1,1,0,1,1,1,1
box,0,0,2,3,0,9,BuildSide-,436,91643,1,10000000,1,1,0,1,1,1,1
box,0,0,2,3,0,10,newRoot+,41,8939,1,10000000,1,1,0,1,1,1,1
box,0,0,2,3,0,11,newRoot-,120,25867,1,10000000,1,1,0,1,1,1,1
box,0,0,3,2,0,0,buildtotal,862,181297,1,10000000,1,1,1,1,1,1,1
box,0,0,3,2,0,1,objects+,339,71669,1,10000000,1,1,1,1,1,1,1
box,0,0,3,2,0,2,objects-,144,30497,1,10000000,1,1,1,1,1,1,1
box,0,0,3,2,0,3,colliders+,47,10217,1,10000000,1,1,1,1,1,1,1
box,0,0,3,2,0,4,colliders-,24,5381,1,10000000,1,1,1,1,1,1,1
box,0,0,3,2,0,5,publishtotal,530,111567,1,10000000,1,1,1,1,1,1,1
box,0,0,3,2,0,6,SetActive+,276,58720,1,10000000,1,1,1,1,1,1,1
box,0,0,3,2,0,7,SetActive-,50,10856,1,10000000,1,1,1,1,1,1,1
box,0,0,3,2,0,8,BuildSide+,399,83642,1,10000000,1,1,1,1,1,1,1
box,0,0,3,2,0,9,BuildSide-,177,37190,1,10000000,1,1,1,1,1,1,1
box,0,0,3,2,0,10,newRoot+,105,22831,1,10000000,1,1,1,1,1,1,1
box,0,0,3,2,0,11,newRoot-,39,8603,1,10000000,1,1,1,1,1,1,1
box,0,1,0,1,0,0,buildtotal,958,201917,1,10000000,1,1,0,0,1,1,1
box,0,1,0,1,0,1,objects+,197,41966,1,10000000,1,1,0,0,1,1,1
box,0,1,0,1,0,2,objects-,364,77402,1,10000000,1,1,0,0,1,1,1
box,0,1,0,1,0,3,colliders+,23,5207,1,10000000,1,1,0,0,1,1,1
box,0,1,0,1,0,4,colliders-,67,14909,1,10000000,1,1,0,0,1,1,1
box,0,1,0,1,0,5,publishtotal,571,120196,1,10000000,1,1,0,0,1,1,1
box,0,1,0,1,0,6,SetActive+,175,37298,1,10000000,1,1,0,0,1,1,1
box,0,1,0,1,0,7,SetActive-,160,34289,1,10000000,1,1,0,0,1,1,1
box,0,1,0,1,0,8,BuildSide+,231,48530,1,10000000,1,1,0,0,1,1,1
box,0,1,0,1,0,9,BuildSide-,452,94893,1,10000000,1,1,0,0,1,1,1
