run,backend,source_fingerprint,case,phase,mode,probe_schema,stage,metric,positive_minus_negative_n,positive_minus_negative_median,positive_minus_negative_p95,positive_minus_negative_min,positive_minus_negative_max,first_minus_second_n,first_minus_second_median,first_minus_second_p95,first_minus_second_min,first_minus_second_max,order_kind,positive_ordinal,negative_ordinal,positive_colliders,negative_colliders
player00-66233b83,IL2CPP,ac74cac748fd6e6ebd6d35c6cdd90d5b116a231b61a1104ebdec526eee938e26,box,measured,2,newRoot,SetActive,elapsed_us,8,15.950000000000001,20.939999999999998,15.0,22.900000000000002,8,15.950000000000001,20.939999999999998,15.0,22.900000000000002,activation,1,2,1,1
player00-66233b83,IL2CPP,ac74cac748fd6e6ebd6d35c6cdd90d5b116a231b61a1104ebdec526eee938e26,box,measured,2,newRoot,SetActive,thread_cycles,8,33736.5,44328.149999999994,31841,48378,8,33736.5,44328.149999999994,31841,48378,activation,1,2,1,1
player00-66233b83,IL2CPP,ac74cac748fd6e6ebd6d35c6cdd90d5b116a231b61a1104ebdec526eee938e26,box,measured,2,newRoot,colliders,elapsed_us,8,1.1,1.66,0.30000000000000004,1.8,8,1.1,1.66,0.30000000000000004,1.8,build,1,2,1,1
player00-66233b83,IL2CPP,ac74cac748fd6e6ebd6d35c6cdd90d5b116a231b61a1104ebdec526eee938e26,box,measured,2,newRoot,colliders,thread_cycles,8,2290.5,3428.8999999999996,654,3634,8,2290.5,3428.8999999999996,654,3634,build,1,2,1,1
player00-66233b83,IL2CPP,ac74cac748fd6e6ebd6d35c6cdd90d5b116a231b61a1104ebdec526eee938e26,box,measured,2,newRoot,newRoot,elapsed_us,8,2.6500000000000004,3.295,2.1,3.4000000000000004,8,2.6500000000000004,3.295,2.1,3.4000000000000004,build,1,2,1,1
player00-66233b83,IL2CPP,ac74cac748fd6e6ebd6d35c6cdd90d5b116a231b61a1104ebdec526eee938e26,box,measured,2,newRoot,newRoot,thread_cycles,8,5704.0,7272.3,4538,7343,8,5704.0,7272.3,4538,7343,build,1,2,1,1
player00-66233b83,IL2CPP,ac74cac748fd6e6ebd6d35c6cdd90d5b116a231b61a1104ebdec526eee938e26,box,measured,2,newRoot,objects,elapsed_us,8,9.950000000000001,12.95,8.4,14.0,8,9.950000000000001,12.95,8.4,14.0,build,1,2,1,1
player00-66233b83,IL2CPP,ac74cac748fd6e6ebd6d35c6cdd90d5b116a231b61a1104ebdec526eee938e26,box,measured,2,newRoot,objects,thread_cycles,8,21053.0,27526.899999999998,17792,29769,8,21053.0,27526.899999999998,17792,29769,build,1,2,1,1
player00-66233b83,IL2CPP,ac74cac748fd6e6ebd6d35c6cdd90d5b116a231b61a1104ebdec526eee938e26,box,measured,3,newRoot,BuildSide,elapsed_us,8,-12.0,-10.905000000000001,-14.600000000000001,-10.8,8,12.0,14.215,10.8,14.600000000000001,build,2,1,1,1
player00-66233b83,IL2CPP,ac74cac748fd6e6ebd6d35c6cdd90d5b116a231b61a1104ebdec526eee938e26,box,measured,3,newRoot,BuildSide,thread_cycles,8,-25286.5,-22911.4,-30731,-22679,8,25286.5,29928.449999999997,22679,30731,build,2,1,1,1
player00-66233b83,IL2CPP,ac74cac748fd6e6ebd6d35c6cdd90d5b116a231b61a1104ebdec526eee938e26,box,measured,3,newRoot,SetActive,elapsed_us,8,16.450000000000003,17.095,16.0,17.2,8,16.450000000000003,17.095,16.0,17.2,activation,1,2,1,1
player00-66233b83,IL2CPP,ac74cac748fd6e6ebd6d35c6cdd90d5b116a231b61a1104ebdec526eee938e26,box,measured,3,newRoot,SetActive,thread_cycles,8,34747.0,36266.5,33848,36522,8,34747.0,36266.5,33848,36522,activation,1,2,1,1
player00-66233b83,IL2CPP,ac74cac748fd6e6ebd6d35c6cdd90d5b116a231b61a1104ebdec526eee938e26,box,measured,3,newRoot,colliders,elapsed_us,8,-1.0,-0.6700000000000002,-2.2,-0.6000000000000001,8,1.0,1.9549999999999996,0.6000000000000001,2.2,build,2,1,1,1
player00-66233b83,IL2CPP,ac74cac748fd6e6ebd6d35c6cdd90d5b116a231b61a1104ebdec526eee938e26,box,measured,3,newRoot,colliders,thread_cycles,8,-2207.0,-1594.15,-4741,-1465,8,2207.0,4295.099999999999,1465,4741,build,2,1,1,1
player00-66233b83,IL2CPP,ac74cac748fd6e6ebd6d35c6cdd90d5b116a231b61a1104ebdec526eee938e26,box,measured,3,newRoot,newRoot,elapsed_us,8,-2.5500000000000003,-1.7750000000000004,-4.0,-1.6,8,2.5500000000000003,3.79,1.6,4.0,build,2,1,1,1
player00-66233b83,IL2CPP,ac74cac748fd6e6ebd6d35c6cdd90d5b116a231b61a1104ebdec526eee938e26,box,measured,3,newRoot,newRoot,thread_cycles,8,-5365.5,-3918.5000000000005,-8550,-3635,8,5365.5,8097.099999999999,3635,8550,build,2,1,1,1
player00-66233b83,IL2CPP,ac74cac748fd6e6ebd6d35c6cdd90d5b116a231b61a1104ebdec526eee938e26,box,measured,3,newRoot,objects,elapsed_us,8,-9.700000000000001,-8.9,-13.0,-8.9,8,9.700000000000001,12.264999999999999,8.9,13.0,build,2,1,1,1
player00-66233b83,IL2CPP,ac74cac748fd6e6ebd6d35c6cdd90d5b116a231b61a1104ebdec526eee938e26,box,measured,3,newRoot,objects,thread_cycles,8,-20490.0,-18888.75,-27424,-18880,8,20490.0,25801.049999999996,18880,27424,build,2,1,1,1
player00-66233b83,IL2CPP,ac74cac748fd6e6ebd6d35c6cdd90d5b116a231b61a1104ebdec526eee938e26,box,warmup,0,newRoot,BuildSide,elapsed_us,1,17.900000000000002,17.900000000000002,17.900000000000002,17.900000000000002,1,17.900000000000002,17.900000000000002,17.900000000000002,17.900000000000002,build,1,2,1,1
player00-66233b83,IL2CPP,ac74cac748fd6e6ebd6d35c6cdd90d5b116a231b61a1104ebdec526eee938e26,box,warmup,0,newRoot,BuildSide,thread_cycles,1,37399.0,37399.0,37399,37399,1,37399.0,37399.0,37399,37399,build,1,2,1,1
player00-66233b83,IL2CPP,ac74cac748fd6e6ebd6d35c6cdd90d5b116a231b61a1104ebdec526eee938e26,box,warmup,0,newRoot,SetActive,elapsed_us,1,0.6000000000000001,0.6000000000000001,0.6000000000000001,0.6000000000000001,1,-0.6000000000000001,-0.6000000000000001,-0.6000000000000001,-0.6000000000000001,activation,2,1,1,1
player00-66233b83,IL2CPP,ac74cac748fd6e6ebd6d35c6cdd90d5b116a231b61a1104ebdec526eee938e26,box,warmup,0,newRoot,SetActive,thread_cycles,1,1581.0,1581.0,1581,1581,1,-1581.0,-1581.0,-1581,-1581,activation,2,1,1,1
player00-66233b83,IL2CPP,ac74cac748fd6e6ebd6d35c6cdd90d5b116a231b61a1104ebdec526eee938e26,box,warmup,0,newRoot,colliders,elapsed_us,1,2.4000000000000004,2.4000000000000004,2.4000000000000004,2.4000000000000004,1,2.4000000000000004,2.4000000000000004,2.4000000000000004,2.4000000000000004,build,1,2,1,1
player00-66233b83,IL2CPP,ac74cac748fd6e6ebd6d35c6cdd90d5b116a231b61a1104ebdec526eee938e26,box,warmup,0,newRoot,colliders,thread_cycles,1,5039.0,5039.0,5039,5039,1,5039.0,5039.0,5039,5039,build,1,2,1,1
player00-66233b83,IL2CPP,ac74cac748fd6e6ebd6d35c6cdd90d5b116a231b61a1104ebdec526eee938e26,box,warmup,0,newRoot,newRoot,elapsed_us,1,6.0,6.0,6.0,6.0,1,6.0,6.0,6.0,6.0,build,1,2,1,1
player00-66233b83,IL2CPP,ac74cac748fd6e6ebd6d35c6cdd90d5b116a231b61a1104ebdec526eee938e26,box,warmup,0,newRoot,newRoot,thread_cycles,1,12746.0,12746.0,12746,12746,1,12746.0,12746.0,12746,12746,build,1,2,1,1
player00-66233b83,IL2CPP,ac74cac748fd6e6ebd6d35c6cdd90d5b116a231b61a1104ebdec526eee938e26,box,warmup,0,newRoot,objects,elapsed_us,1,14.8,14.8,14.8,14.8,1,14.8,14.8,14.8,14.8,build,1,2,1,1
player00-66233b83,IL2CPP,ac74cac748fd6e6ebd6d35c6cdd90d5b116a231b61a1104ebdec526eee938e26,box,warmup,0,newRoot,objects,thread_cycles,1,31284.0,31284.0,31284,31284,1,31284.0,31284.0,31284,31284,build,1,2,1,1
player00-66233b83,IL2CPP,ac74cac748fd6e6ebd6d35c6cdd90d5b116a231b61a1104ebdec526eee938e26,box,warmup,1,newRoot,BuildSide,elapsed_us,1,-7.0,-7.0,-7.0,-7.0,1,7.0,7.0,7.0,7.0,build,2,1,1,1
player00-66233b83,IL2CPP,ac74cac748fd6e6ebd6d35c6cdd90d5b116a231b61a1104ebdec526eee938e26,box,warmup,1,newRoot,BuildSide,thread_cycles,1,-15006.0,-15006.0,-15006,-15006,1,15006.0,15006.0,15006,15006,build,2,1,1,1
player00-66233b83,IL2CPP,ac74cac748fd6e6ebd6d35c6cdd90d5b116a231b61a1104ebdec526eee938e26,box,warmup,1,newRoot,SetActive,elapsed_us,1,2.5,2.5,2.5,2.5,1,-2.5,-2.5,-2.5,-2.5,activation,2,1,1,1
player00-66233b83,IL2CPP,ac74cac748fd6e6ebd6d35c6cdd90d5b116a231b61a1104ebdec526eee938e26,box,warmup,1,newRoot,SetActive,thread_cycles,1,5223.0,5223.0,5223,5223,1,-5223.0,-5223.0,-5223,-5223,activation,2,1,1,1
player00-66233b83,IL2CPP,ac74cac748fd6e6ebd6d35c6cdd90d5b116a231b61a1104ebdec526eee938e26,box,warmup,1,newRoot,colliders,elapsed_us,1,-0.8,-0.8,-0.8,-0.8,1,0.8,0.8,0.8,0.8,build,2,1,1,1
player00-66233b83,IL2CPP,ac74cac748fd6e6ebd6d35c6cdd90d5b116a231b61a1104ebdec526eee938e26,box,warmup,1,newRoot,colliders,thread_cycles,1,-1824.0,-1824.0,-1824,-1824,1,1824.0,1824.0,1824,1824,build,2,1,1,1
player00-66233b83,IL2CPP,ac74cac748fd6e6ebd6d35c6cdd90d5b116a231b61a1104ebdec526eee938e26,box,warmup,1,newRoot,newRoot,elapsed_us,1,-1.8,-1.8,-1.8,-1.8,1,1.8,1.8,1.8,1.8,build,2,1,1,1
player00-66233b83,IL2CPP,ac74cac748fd6e6ebd6d35c6cdd90d5b116a231b61a1104ebdec526eee938e26,box,warmup,1,newRoot,newRoot,thread_cycles,1,-3713.0,-3713.0,-3713,-3713,1,3713.0,3713.0,3713,3713,build,2,1,1,1
player00-66233b83,IL2CPP,ac74cac748fd6e6ebd6d35c6cdd90d5b116a231b61a1104ebdec526eee938e26,box,warmup,1,newRoot,objects,elapsed_us,1,-5.800000000000001,-5.800000000000001,-5.800000000000001,-5.800000000000001,1,5.800000000000001,5.800000000000001,5.800000000000001,5.800000000000001,build,2,1,1,1
player00-66233b83,IL2CPP,ac74cac748fd6e6ebd6d35c6cdd90d5b116a231b61a1104ebdec526eee938e26,box,warmup,1,newRoot,objects,thread_cycles,1,-12546.0,-12546.0,-12546,-12546,1,12546.0,12546.0,12546,12546,build,2,1,1,1
player00-66233b83,IL2CPP,ac74cac748fd6e6ebd6d35c6cdd90d5b116a231b61a1104ebdec526eee938e26,box,warmup,2,newRoot,BuildSide,elapsed_us,1,13.4,13.4,13.4,13.4,1,13.4,13.4,13.4,13.4,build,1,2,1,1
player00-66233b83,IL2CPP,ac74cac748fd6e6ebd6d35c6cdd90d5b116a231b61a1104ebdec526eee938e26,box,warmup,2,newRoot,BuildSide,thread_cycles,1,28280.0,28280.0,28280,28280,1,28280.0,28280.0,28280,28280,build,1,2,1,1
player00-66233b83,IL2CPP,ac74cac748fd6e6ebd6d35c6cdd90d5b116a231b61a1104ebdec526eee938e26,box,warmup,2,newRoot,SetActive,elapsed_us,1,15.9,15.9,15.9,15.9,1,15.9,15.9,15.9,15.9,activation,1,2,1,1
player00-66233b83,IL2CPP,ac74cac748fd6e6ebd6d35c6cdd90d5b116a231b61a1104ebdec526eee938e26,box,warmup,2,newRoot,SetActive,thread_cycles,1,33490.0,33490.0,33490,33490,1,33490.0,33490.0,33490,33490,activation,1,2,1,1
player00-66233b83,IL2CPP,ac74cac748fd6e6ebd6d35c6cdd90d5b116a231b61a1104ebdec526eee938e26,box,warmup,2,newRoot,colliders,elapsed_us,1,0.8,0.8,0.8,0.8,1,0.8,0.8,0.8,0.8,build,1,2,1,1
player00-66233b83,IL2CPP,ac74cac748fd6e6ebd6d35c6cdd90d5b116a231b61a1104ebdec526eee938e26,box,warmup,2,newRoot,colliders,thread_cycles,1,1756.0,1756.0,1756,1756,1,1756.0,1756.0,1756,1756,build,1,2,1,1
player00-66233b83,IL2CPP,ac74cac748fd6e6ebd6d35c6cdd90d5b116a231b61a1104ebdec526eee938e26,box,warmup,2,newRoot,newRoot,elapsed_us,1,3.9000000000000004,3.9000000000000004,3.9000000000000004,3.9000000000000004,1,3.9000000000000004,3.9000000000000004,3.9000000000000004,3.9000000000000004,build,1,2,1,1
player00-66233b83,IL2CPP,ac74cac748fd6e6ebd6d35c6cdd90d5b116a231b61a1104ebdec526eee938e26,box,warmup,2,newRoot,newRoot,thread_cycles,1,8394.0,8394.0,8394,8394,1,8394.0,8394.0,8394,8394,build,1,2,1,1
player00-66233b83,IL2CPP,ac74cac748fd6e6ebd6d35c6cdd90d5b116a231b61a1104ebdec526eee938e26,box,warmup,2,newRoot,objects,elapsed_us,1,11.4,11.4,11.4,11.4,1,11.4,11.4,11.4,11.4,build,1,2,1,1
player00-66233b83,IL2CPP,ac74cac748fd6e6ebd6d35c6cdd90d5b116a231b61a1104ebdec526eee938e26,box,warmup,2,newRoot,objects,thread_cycles,1,24110.0,24110.0,24110,24110,1,24110.0,24110.0,24110,24110,build,1,2,1,1
