run,backend,source_fingerprint,case,phase,mode,probe_schema,span,paired_round_delta_elapsed_us_n,paired_round_delta_elapsed_us_median,paired_round_delta_elapsed_us_p95,paired_round_delta_elapsed_us_min,paired_round_delta_elapsed_us_max,paired_round_delta_thread_cycles_n,paired_round_delta_thread_cycles_median,paired_round_delta_thread_cycles_p95,paired_round_delta_thread_cycles_min,paired_round_delta_thread_cycles_max,elapsed_us_delta_of_medians,elapsed_us_delta_of_medians_percent,thread_cycles_delta_of_medians,thread_cycles_delta_of_medians_percent
player11-6bad76e3,IL2CPP,ac74cac748fd6e6ebd6d35c6cdd90d5b116a231b61a1104ebdec526eee938e26,box,measured,3,newRoot,newRoot_pair,8,-0.1499999999999999,0.40000000000000036,-2.3999999999999995,0.40000000000000036,8,-213.5,813.0,-5138,855,-0.09999999999999964,-1.4705882352941124,-268.0,-1.7890520694259004
player11-6bad76e3,IL2CPP,ac74cac748fd6e6ebd6d35c6cdd90d5b116a231b61a1104ebdec526eee938e26,box,measured,3,newRoot,objects+,8,-8.549999999999999,-6.904999999999999,-9.600000000000001,-6.799999999999999,8,-18029.0,-14610.95,-20255,-14479,-8.399999999999999,-53.50318471337579,-17710.0,-53.23353923380976
player11-6bad76e3,IL2CPP,ac74cac748fd6e6ebd6d35c6cdd90d5b116a231b61a1104ebdec526eee938e26,box,measured,3,newRoot,objects-,8,8.6,9.72,6.6,10.0,8,18259.5,20591.85,13978,21218,8.5,112.58278145695364,18113.0,112.7096232226751
player11-6bad76e3,IL2CPP,ac74cac748fd6e6ebd6d35c6cdd90d5b116a231b61a1104ebdec526eee938e26,box,measured,3,newRoot,objects_pair,8,0.4499999999999993,1.655000000000002,-3.0,1.9000000000000021,8,1102.0,3560.5999999999995,-6277,4038,0.4499999999999993,1.9607843137254832,1122.0,2.3016564952048846
player11-6bad76e3,IL2CPP,ac74cac748fd6e6ebd6d35c6cdd90d5b116a231b61a1104ebdec526eee938e26,box,measured,3,newRoot,publishtotal,8,0.8000000000000007,1.8499999999999999,-3.1000000000000014,2.200000000000003,8,1728.0,3750.199999999999,-6684,4425,-0.10000000000000142,-0.2849002849002913,-367.5,-0.49634326695163766
player11-6bad76e3,IL2CPP,ac74cac748fd6e6ebd6d35c6cdd90d5b116a231b61a1104ebdec526eee938e26,box,warmup,0,newRoot,BuildPublish,1,0.0,0.0,0.0,0.0,1,0.0,0.0,0,0,0.0,0.0,0.0,0.0
player11-6bad76e3,IL2CPP,ac74cac748fd6e6ebd6d35c6cdd90d5b116a231b61a1104ebdec526eee938e26,box,warmup,0,newRoot,BuildSide+,1,0.0,0.0,0.0,0.0,1,0.0,0.0,0,0,0.0,0.0,0.0,0.0
player11-6bad76e3,IL2CPP,ac74cac748fd6e6ebd6d35c6cdd90d5b116a231b61a1104ebdec526eee938e26,box,warmup,0,newRoot,BuildSide-,1,0.0,0.0,0.0,0.0,1,0.0,0.0,0,0,0.0,0.0,0.0,0.0
player11-6bad76e3,IL2CPP,ac74cac748fd6e6ebd6d35c6cdd90d5b116a231b61a1104ebdec526eee938e26,box,warmup,0,newRoot,BuildSide_pair,1,0.0,0.0,0.0,0.0,1,0.0,0.0,0,0,0.0,0.0,0.0,0.0
player11-6bad76e3,IL2CPP,ac74cac748fd6e6ebd6d35c6cdd90d5b116a231b61a1104ebdec526eee938e26,box,warmup,0,newRoot,SetActive+,1,0.0,0.0,0.0,0.0,1,0.0,0.0,0,0,0.0,0.0,0.0,0.0
player11-6bad76e3,IL2CPP,ac74cac748fd6e6ebd6d35c6cdd90d5b116a231b61a1104ebdec526eee938e26,box,warmup,0,newRoot,SetActive-,1,0.0,0.0,0.0,0.0,1,0.0,0.0,0,0,0.0,0.0,0.0,0.0
player11-6bad76e3,IL2CPP,ac74cac748fd6e6ebd6d35c6cdd90d5b116a231b61a1104ebdec526eee938e26,box,warmup,0,newRoot,SetActive_pair,1,0.0,0.0,0.0,0.0,1,0.0,0.0,0,0,0.0,0.0,0.0,0.0
player11-6bad76e3,IL2CPP,ac74cac748fd6e6ebd6d35c6cdd90d5b116a231b61a1104ebdec526eee938e26,box,warmup,0,newRoot,buildtotal,1,0.0,0.0,0.0,0.0,1,0.0,0.0,0,0,0.0,0.0,0.0,0.0
player11-6bad76e3,IL2CPP,ac74cac748fd6e6ebd6d35c6cdd90d5b116a231b61a1104ebdec526eee938e26,box,warmup,0,newRoot,colliders+,1,0.0,0.0,0.0,0.0,1,0.0,0.0,0,0,0.0,0.0,0.0,0.0
player11-6bad76e3,IL2CPP,ac74cac748fd6e6ebd6d35c6cdd90d5b116a231b61a1104ebdec526eee938e26,box,warmup,0,newRoot,colliders-,1,0.0,0.0,0.0,0.0,1,0.0,0.0,0,0,0.0,0.0,0.0,0.0
player11-6bad76e3,IL2CPP,ac74cac748fd6e6ebd6d35c6cdd90d5b116a231b61a1104ebdec526eee938e26,box,warmup,0,newRoot,colliders_pair,1,0.0,0.0,0.0,0.0,1,0.0,0.0,0,0,0.0,0.0,0.0,0.0
player11-6bad76e3,IL2CPP,ac74cac748fd6e6ebd6d35c6cdd90d5b116a231b61a1104ebdec526eee938e26,box,warmup,0,newRoot,newRoot+,1,0.0,0.0,0.0,0.0,1,0.0,0.0,0,0,0.0,0.0,0.0,0.0
player11-6bad76e3,IL2CPP,ac74cac748fd6e6ebd6d35c6cdd90d5b116a231b61a1104ebdec526eee938e26,box,warmup,0,newRoot,newRoot-,1,0.0,0.0,0.0,0.0,1,0.0,0.0,0,0,0.0,0.0,0.0,0.0
player11-6bad76e3,IL2CPP,ac74cac748fd6e6ebd6d35c6cdd90d5b116a231b61a1104ebdec526eee938e26,box,warmup,0,newRoot,newRoot_pair,1,0.0,0.0,0.0,0.0,1,0.0,0.0,0,0,0.0,0.0,0.0,0.0
player11-6bad76e3,IL2CPP,ac74cac748fd6e6ebd6d35c6cdd90d5b116a231b61a1104ebdec526eee938e26,box,warmup,0,newRoot,objects+,1,0.0,0.0,0.0,0.0,1,0.0,0.0,0,0,0.0,0.0,0.0,0.0
player11-6bad76e3,IL2CPP,ac74cac748fd6e6ebd6d35c6cdd90d5b116a231b61a1104ebdec526eee938e26,box,warmup,0,newRoot,objects-,1,0.0,0.0,0.0,0.0,1,0.0,0.0,0,0,0.0,0.0,0.0,0.0
player11-6bad76e3,IL2CPP,ac74cac748fd6e6ebd6d35c6cdd90d5b116a231b61a1104ebdec526eee938e26,box,warmup,0,newRoot,objects_pair,1,0.0,0.0,0.0,0.0,1,0.0,0.0,0,0,0.0,0.0,0.0,0.0
player11-6bad76e3,IL2CPP,ac74cac748fd6e6ebd6d35c6cdd90d5b116a231b61a1104ebdec526eee938e26,box,warmup,0,newRoot,publishtotal,1,0.0,0.0,0.0,0.0,1,0.0,0.0,0,0,0.0,0.0,0.0,0.0
player11-6bad76e3,IL2CPP,ac74cac748fd6e6ebd6d35c6cdd90d5b116a231b61a1104ebdec526eee938e26,box,warmup,1,newRoot,BuildPublish,1,-11.600000000000009,-11.600000000000009,-11.600000000000009,-11.600000000000009,1,-26675.0,-26675.0,-26675,-26675,-11.600000000000009,-13.53558926487749,-26675.0,-14.570212858929754
player11-6bad76e3,IL2CPP,ac74cac748fd6e6ebd6d35c6cdd90d5b116a231b61a1104ebdec526eee938e26,box,warmup,1,newRoot,BuildSide+,1,-12.400000000000002,-12.400000000000002,-12.400000000000002,-12.400000000000002,1,-25928.0,-25928.0,-25928,-25928,-12.400000000000002,-58.76777251184835,-25928.0,-58.450370837935935
player11-6bad76e3,IL2CPP,ac74cac748fd6e6ebd6d35c6cdd90d5b116a231b61a1104ebdec526eee938e26,box,warmup,1,newRoot,BuildSide-,1,8.499999999999998,8.499999999999998,8.499999999999998,8.499999999999998,1,17905.0,17905.0,17905,17905,8.499999999999998,85.85858585858584,17905.0,86.50594260315006
player11-6bad76e3,IL2CPP,ac74cac748fd6e6ebd6d35c6cdd90d5b116a231b61a1104ebdec526eee938e26,box,warmup,1,newRoot,BuildSide_pair,1,-3.8999999999999986,-3.8999999999999986,-3.8999999999999986,-3.8999999999999986,1,-8023.0,-8023.0,-8023,-8023,-3.8999999999999986,-12.580645161290317,-8023.0,-12.332262477519718
