case,case_order,round,order,mode,warmup,span_id,span,ticks,thread_cycles,count,frequency,positive_colliders,negative_colliders,build_positive_first,activate_positive_first,published,validated,cleaned
box,0,0,1,1,0,8,BuildSide+,103,21824,1,10000000,1,1,0,0,1,1,1
box,0,0,1,1,0,9,BuildSide-,284,59909,1,10000000,1,1,0,0,1,1,1
box,0,0,1,1,0,10,newRoot+,26,5791,1,10000000,1,1,0,0,1,1,1
box,0,0,1,1,0,11,newRoot-,70,15357,1,10000000,1,1,0,0,1,1,1
box,0,0,2,3,0,0,buildtotal,1220,141287,1,10000000,1,1,0,1,1,1,1
box,0,0,2,3,0,1,objects+,96,20422,1,10000000,1,1,0,1,1,1,1
box,0,0,2,3,0,2,objects-,860,65116,1,10000000,1,1,0,1,1,1,1
box,0,0,2,3,0,3,colliders+,12,2905,1,10000000,1,1,0,1,1,1,1
box,0,0,2,3,0,4,colliders-,33,7301,1,10000000,1,1,0,1,1,1,1
box,0,0,2,3,0,5,publishtotal,499,105427,1,10000000,1,1,0,1,1,1,1
box,0,0,2,3,0,6,SetActive+,264,56195,1,10000000,1,1,0,1,1,1,1
box,0,0,2,3,0,7,SetActive-,43,9378,1,10000000,1,1,0,1,1,1,1
box,0,0,2,3,0,8,BuildSide+,116,24365,1,10000000,1,1,0,1,1,1,1
box,0,0,2,3,0,9,BuildSide-,907,74723,1,10000000,1,1,0,1,1,1,1
box,0,0,2,3,0,10,newRoot+,29,6417,1,10000000,1,1,0,1,1,1,1
box,0,0,2,3,0,11,newRoot-,670,25386,1,10000000,1,1,0,1,1,1,1
box,0,0,3,2,0,0,buildtotal,710,121255,1,10000000,1,1,1,1,1,1,1
box,0,0,3,2,0,1,objects+,215,45749,1,10000000,1,1,1,1,1,1,1
box,0,0,3,2,0,2,objects-,86,18460,1,10000000,1,1,1,1,1,1,1
box,0,0,3,2,0,3,colliders+,24,5402,1,10000000,1,1,1,1,1,1,1
box,0,0,3,2,0,4,colliders-,12,2767,1,10000000,1,1,1,1,1,1,1
box,0,0,3,2,0,5,publishtotal,447,94085,1,10000000,1,1,1,1,1,1,1
box,0,0,3,2,0,6,SetActive+,236,50349,1,10000000,1,1,1,1,1,1,1
box,0,0,3,2,0,7,SetActive-,36,7906,1,10000000,1,1,1,1,1,1,1
box,0,0,3,2,0,8,BuildSide+,253,53251,1,10000000,1,1,1,1,1,1,1
box,0,0,3,2,0,9,BuildSide-,106,22271,1,10000000,1,1,1,1,1,1,1
box,0,0,3,2,0,10,newRoot+,70,15056,1,10000000,1,1,1,1,1,1,1
