case,case_order,round,order,mode,warmup,span_id,span,ticks,thread_cycles,count,frequency,positive_colliders,negative_colliders,build_positive_first,activate_positive_first,published,validated,cleaned
character,0,-1,0,2,1,0,buildtotal,903,190766,1,10000000,15,9,1,1,1,1,1
character,0,-1,0,2,1,1,objects+,316,66605,1,10000000,15,9,1,1,1,1,1
character,0,-1,0,2,1,2,objects-,82,17677,1,10000000,15,9,1,1,1,1,1
character,0,-1,0,2,1,3,colliders+,180,38182,1,10000000,15,9,1,1,1,1,1
character,0,-1,0,2,1,4,colliders-,82,17763,1,10000000,15,9,1,1,1,1,1
character,0,-1,0,2,1,5,publishtotal,954,201461,1,10000000,15,9,1,1,1,1,1
character,0,-1,0,2,1,6,SetActive+,554,117352,1,10000000,15,9,1,1,1,1,1
character,0,-1,0,2,1,7,SetActive-,139,29584,1,10000000,15,9,1,1,1,1,1
character,0,-1,0,2,1,8,BuildSide+,511,107567,1,10000000,15,9,1,1,1,1,1
character,0,-1,0,2,1,9,BuildSide-,173,36358,1,10000000,15,9,1,1,1,1,1
character,0,-1,0,2,1,10,newRoot+,131,27891,1,10000000,15,9,1,1,1,1,1
character,0,-1,0,2,1,11,newRoot-,31,6757,1,10000000,15,9,1,1,1,1,1
character,0,-1,1,3,1,0,buildtotal,650,137438,1,10000000,15,9,0,1,1,1,1
character,0,-1,1,3,1,1,objects+,67,14314,1,10000000,15,9,0,1,1,1,1
character,0,-1,1,3,1,2,objects-,175,37037,1,10000000,15,9,0,1,1,1,1
character,0,-1,1,3,1,3,colliders+,115,24512,1,10000000,15,9,0,1,1,1,1
character,0,-1,1,3,1,4,colliders-,91,19580,1,10000000,15,9,0,1,1,1,1
character,0,-1,1,3,1,5,publishtotal,691,145873,1,10000000,15,9,0,1,1,1,1
character,0,-1,1,3,1,6,SetActive+,340,72235,1,10000000,15,9,0,1,1,1,1
character,0,-1,1,3,1,7,SetActive-,164,35020,1,10000000,15,9,0,1,1,1,1
character,0,-1,1,3,1,8,BuildSide+,190,39718,1,10000000,15,9,0,1,1,1,1
character,0,-1,1,3,1,9,BuildSide-,281,59135,1,10000000,15,9,0,1,1,1,1
character,0,-1,1,3,1,10,newRoot+,19,4233,1,10000000,15,9,0,1,1,1,1
character,0,-1,1,3,1,11,newRoot-,56,12323,1,10000000,15,9,0,1,1,1,1
character,0,-1,2,1,1,0,buildtotal,661,139623,1,10000000,15,9,0,0,1,1,1
character,0,-1,2,1,1,1,objects+,65,13768,1,10000000,15,9,0,0,1,1,1
character,0,-1,2,1,1,2,objects-,177,37735,1,10000000,15,9,0,0,1,1,1
character,0,-1,2,1,1,3,colliders+,130,27671,1,10000000,15,9,0,0,1,1,1
character,0,-1,2,1,1,4,colliders-,97,20672,1,10000000,15,9,0,0,1,1,1
character,0,-1,2,1,1,5,publishtotal,630,132908,1,10000000,15,9,0,0,1,1,1
character,0,-1,2,1,1,6,SetActive+,269,57245,1,10000000,15,9,0,0,1,1,1
character,0,-1,2,1,1,7,SetActive-,186,39622,1,10000000,15,9,0,0,1,1,1
character,0,-1,2,1,1,8,BuildSide+,202,42310,1,10000000,15,9,0,0,1,1,1
character,0,-1,2,1,1,9,BuildSide-,285,60221,1,10000000,15,9,0,0,1,1,1
character,0,-1,2,1,1,10,newRoot+,18,4123,1,10000000,15,9,0,0,1,1,1
character,0,-1,2,1,1,11,newRoot-,63,13579,1,10000000,15,9,0,0,1,1,1
character,0,-1,3,0,1,0,buildtotal,639,134980,1,10000000,15,9,1,0,1,1,1
character,0,-1,3,0,1,1,objects+,166,35300,1,10000000,15,9,1,0,1,1,1
character,0,-1,3,0,1,2,objects-,69,14821,1,10000000,15,9,1,0,1,1,1
character,0,-1,3,0,1,3,colliders+,129,27496,1,10000000,15,9,1,0,1,1,1
character,0,-1,3,0,1,4,colliders-,75,16178,1,10000000,15,9,1,0,1,1,1
character,0,-1,3,0,1,5,publishtotal,607,127849,1,10000000,15,9,1,0,1,1,1
character,0,-1,3,0,1,6,SetActive+,267,56907,1,10000000,15,9,1,0,1,1,1
character,0,-1,3,0,1,7,SetActive-,176,37559,1,10000000,15,9,1,0,1,1,1
character,0,-1,3,0,1,8,BuildSide+,307,64619,1,10000000,15,9,1,0,1,1,1
character,0,-1,3,0,1,9,BuildSide-,153,31916,1,10000000,15,9,1,0,1,1,1
character,0,-1,3,0,1,10,newRoot+,48,10866,1,10000000,15,9,1,0,1,1,1
character,0,-1,3,0,1,11,newRoot-,24,5333,1,10000000,15,9,1,0,1,1,1
character,0,0,0,2,0,0,buildtotal,616,130010,1,10000000,15,9,1,1,1,1,1
character,0,0,0,2,0,1,objects+,159,33883,1,10000000,15,9,1,1,1,1,1
character,0,0,0,2,0,2,objects-,73,15590,1,10000000,15,9,1,1,1,1,1
character,0,0,0,2,0,3,colliders+,124,26502,1,10000000,15,9,1,1,1,1,1
character,0,0,0,2,0,4,colliders-,73,15756,1,10000000,15,9,1,1,1,1,1
character,0,0,0,2,0,5,publishtotal,621,131064,1,10000000,15,9,1,1,1,1,1
character,0,0,0,2,0,6,SetActive+,338,71790,1,10000000,15,9,1,1,1,1,1
