run,case,round,order,version,ticks,freq,iterations
"player11",character,0,0,candidate,2455,10000000,1024
"player11",character,0,1,baseline,5719,10000000,1024
"player11",character,0,2,baseline,5696,10000000,1024
"player11",character,0,3,candidate,2456,10000000,1024
"player11",character,1,0,candidate,2787,10000000,1024
"player11",character,1,1,baseline,5929,10000000,1024
"player11",character,1,2,baseline,5690,10000000,1024
"player11",character,1,3,candidate,2461,10000000,1024
"player11",character,2,0,candidate,2476,10000000,1024
"player11",character,2,1,baseline,6555,10000000,1024
"player11",character,2,2,baseline,5741,10000000,1024
"player11",character,2,3,candidate,2461,10000000,1024
"player11",character,3,0,candidate,2523,10000000,1024
"player11",character,3,1,baseline,5891,10000000,1024
"player11",character,3,2,baseline,5749,10000000,1024
"player11",character,3,3,candidate,2459,10000000,1024
"player11",character,4,0,candidate,2470,10000000,1024
"player11",character,4,1,baseline,5705,10000000,1024
"player11",character,4,2,baseline,5980,10000000,1024
"player11",character,4,3,candidate,2463,10000000,1024
"player11",character,5,0,candidate,2599,10000000,1024
"player11",character,5,1,baseline,5959,10000000,1024
"player11",character,5,2,baseline,7735,10000000,1024
"player11",character,5,3,candidate,2460,10000000,1024
"player11",character,6,0,candidate,2570,10000000,1024
"player11",character,6,1,baseline,5849,10000000,1024
"player11",character,6,2,baseline,5778,10000000,1024
"player11",character,6,3,candidate,2457,10000000,1024
"player11",character,7,0,candidate,2467,10000000,1024
"player11",character,7,1,baseline,5762,10000000,1024
"player11",character,7,2,baseline,5779,10000000,1024
"player11",character,7,3,candidate,2461,10000000,1024
"player11",box,0,0,candidate,2460,10000000,1024
"player11",box,0,1,baseline,5693,10000000,1024
"player11",box,0,2,baseline,5632,10000000,1024
"player11",box,0,3,candidate,2459,10000000,1024
"player11",box,1,0,candidate,2466,10000000,1024
"player11",box,1,1,baseline,5585,10000000,1024
"player11",box,1,2,baseline,5580,10000000,1024
"player11",box,1,3,candidate,2455,10000000,1024
"player11",box,2,0,candidate,2466,10000000,1024
"player11",box,2,1,baseline,5599,10000000,1024
"player11",box,2,2,baseline,5586,10000000,1024
"player11",box,2,3,candidate,2534,10000000,1024
"player11",box,3,0,candidate,2461,10000000,1024
"player11",box,3,1,baseline,5924,10000000,1024
"player11",box,3,2,baseline,5601,10000000,1024
"player11",box,3,3,candidate,2478,10000000,1024
"player11",box,4,0,candidate,2477,10000000,1024
"player11",box,4,1,baseline,5632,10000000,1024
"player11",box,4,2,baseline,5582,10000000,1024
"player11",box,4,3,candidate,2461,10000000,1024
"player11",box,5,0,candidate,2489,10000000,1024
"player11",box,5,1,baseline,5647,10000000,1024
"player11",box,5,2,baseline,5608,10000000,1024
"player11",box,5,3,candidate,2464,10000000,1024
"player11",box,6,0,candidate,2468,10000000,1024
"player11",box,6,1,baseline,5594,10000000,1024
"player11",box,6,2,baseline,5589,10000000,1024
"player11",box,6,3,candidate,4767,10000000,1024
"player11",box,7,0,candidate,3409,10000000,1024
"player11",box,7,1,baseline,5804,10000000,1024
"player11",box,7,2,baseline,5581,10000000,1024
"player11",box,7,3,candidate,2458,10000000,1024
