variant,scenario,role,scope,live,slots_used_before_lookup,geometry_capacity,descriptor_capacity,sample,iterations,expected_true,observed_true,ticks,stopwatch_frequency,ns_per_call,allocated_bytes,allocation_counter_responded,allocation_probe_delta
"view",live16,representative,unregistered,16,16,2048,4096,0,4096,0,0,1060,10000000,25.87890625,0,false,0
"view",live16,representative,unregistered,16,16,2048,4096,1,4096,0,0,1062,10000000,25.927734375,0,false,0
"view",live16,representative,unregistered,16,16,2048,4096,2,4096,0,0,1060,10000000,25.87890625,0,false,0
"view",live16,representative,unregistered,16,16,2048,4096,3,4096,0,0,1060,10000000,25.87890625,0,false,0
"view",live16,representative,unregistered,16,16,2048,4096,4,4096,0,0,1059,10000000,25.8544921875,0,false,0
"view",live16,representative,unregistered,16,16,2048,4096,5,4096,0,0,1060,10000000,25.87890625,0,false,0
"view",live16,representative,unregistered,16,16,2048,4096,6,4096,0,0,1059,10000000,25.8544921875,0,false,0
"view",live16,representative,unregistered,16,16,2048,4096,7,4096,0,0,1060,10000000,25.87890625,0,false,0
"view",live16,representative,late_duplicate,16,16,2048,4096,0,4096,4096,4096,1053,10000000,25.7080078125,0,false,0
"view",live16,representative,late_duplicate,16,16,2048,4096,1,4096,4096,4096,1053,10000000,25.7080078125,0,false,0
"view",live16,representative,late_duplicate,16,16,2048,4096,2,4096,4096,4096,1053,10000000,25.7080078125,0,false,0
"view",live16,representative,late_duplicate,16,16,2048,4096,3,4096,4096,4096,1054,10000000,25.732421875,0,false,0
"view",live16,representative,late_duplicate,16,16,2048,4096,4,4096,4096,4096,1052,10000000,25.68359375,0,false,0
"view",live16,representative,late_duplicate,16,16,2048,4096,5,4096,4096,4096,1053,10000000,25.7080078125,0,false,0
"view",live16,representative,late_duplicate,16,16,2048,4096,6,4096,4096,4096,1052,10000000,25.68359375,0,false,0
"view",live16,representative,late_duplicate,16,16,2048,4096,7,4096,4096,4096,1053,10000000,25.7080078125,0,false,0
"view",live32,representative,unregistered,32,32,2048,4096,0,4096,0,0,2492,10000000,60.83984375,0,false,0
"view",live32,representative,unregistered,32,32,2048,4096,1,4096,0,0,2475,10000000,60.4248046875,0,false,0
"view",live32,representative,unregistered,32,32,2048,4096,2,4096,0,0,2088,10000000,50.9765625,0,false,0
"view",live32,representative,unregistered,32,32,2048,4096,3,4096,0,0,2493,10000000,60.8642578125,0,false,0
"view",live32,representative,unregistered,32,32,2048,4096,4,4096,0,0,2500,10000000,61.03515625,0,false,0
"view",live32,representative,unregistered,32,32,2048,4096,5,4096,0,0,2467,10000000,60.2294921875,0,false,0
"view",live32,representative,unregistered,32,32,2048,4096,6,4096,0,0,2488,10000000,60.7421875,0,false,0
"view",live32,representative,unregistered,32,32,2048,4096,7,4096,0,0,2509,10000000,61.2548828125,0,false,0
"view",live32,representative,late_duplicate,32,32,2048,4096,0,4096,4096,4096,2479,10000000,60.5224609375,0,false,0
"view",live32,representative,late_duplicate,32,32,2048,4096,1,4096,4096,4096,2523,10000000,61.5966796875,0,false,0
"view",live32,representative,late_duplicate,32,32,2048,4096,2,4096,4096,4096,2059,10000000,50.2685546875,0,false,0
"view",live32,representative,late_duplicate,32,32,2048,4096,3,4096,4096,4096,2534,10000000,61.865234375,0,false,0
"view",live32,representative,late_duplicate,32,32,2048,4096,4,4096,4096,4096,2058,10000000,50.244140625,0,false,0
"view",live32,representative,late_duplicate,32,32,2048,4096,5,4096,4096,4096,2492,10000000,60.83984375,0,false,0
"view",live32,representative,late_duplicate,32,32,2048,4096,6,4096,4096,4096,2495,10000000,60.9130859375,0,false,0
"view",live32,representative,late_duplicate,32,32,2048,4096,7,4096,4096,4096,2613,10000000,63.7939453125,0,false,0
"view",live512,stress,unregistered,512,512,2048,4096,0,4096,0,0,34218,10000000,835.400390625,0,false,0
"view",live512,stress,unregistered,512,512,2048,4096,1,4096,0,0,34125,10000000,833.1298828125,0,false,0
"view",live512,stress,unregistered,512,512,2048,4096,2,4096,0,0,35275,10000000,861.2060546875,0,false,0
"view",live512,stress,unregistered,512,512,2048,4096,3,4096,0,0,39265,10000000,958.6181640625,0,false,0
"view",live512,stress,unregistered,512,512,2048,4096,4,4096,0,0,34333,10000000,838.2080078125,0,false,0
"view",live512,stress,unregistered,512,512,2048,4096,5,4096,0,0,34452,10000000,841.11328125,0,false,0
"view",live512,stress,unregistered,512,512,2048,4096,6,4096,0,0,36180,10000000,883.30078125,0,false,0
"view",live512,stress,unregistered,512,512,2048,4096,7,4096,0,0,35498,10000000,866.650390625,0,false,0
"view",live512,stress,late_duplicate,512,512,2048,4096,0,4096,4096,4096,34770,10000000,848.876953125,0,false,0
"view",live512,stress,late_duplicate,512,512,2048,4096,1,4096,4096,4096,35297,10000000,861.7431640625,0,false,0
"view",live512,stress,late_duplicate,512,512,2048,4096,2,4096,4096,4096,34481,10000000,841.8212890625,0,false,0
"view",live512,stress,late_duplicate,512,512,2048,4096,3,4096,4096,4096,43383,10000000,1059.1552734375,0,false,0
"view",live512,stress,late_duplicate,512,512,2048,4096,4,4096,4096,4096,35317,10000000,862.2314453125,0,false,0
"view",live512,stress,late_duplicate,512,512,2048,4096,5,4096,4096,4096,35769,10000000,873.2666015625,0,false,0
"view",live512,stress,late_duplicate,512,512,2048,4096,6,4096,4096,4096,35218,10000000,859.814453125,0,false,0
"view",live512,stress,late_duplicate,512,512,2048,4096,7,4096,4096,4096,35241,10000000,860.3759765625,0,false,0
"view",highwater2048_live16,stress,unregistered,16,2048,2048,4096,0,4096,0,0,99508,10000000,2429.39453125,0,false,0
"view",highwater2048_live16,stress,unregistered,16,2048,2048,4096,1,4096,0,0,98655,10000000,2408.5693359375,0,false,0
"view",highwater2048_live16,stress,unregistered,16,2048,2048,4096,2,4096,0,0,97892,10000000,2389.94140625,0,false,0
"view",highwater2048_live16,stress,unregistered,16,2048,2048,4096,3,4096,0,0,98225,10000000,2398.0712890625,0,false,0
"view",highwater2048_live16,stress,unregistered,16,2048,2048,4096,4,4096,0,0,96266,10000000,2350.244140625,0,false,0
"view",highwater2048_live16,stress,unregistered,16,2048,2048,4096,5,4096,0,0,97128,10000000,2371.2890625,0,false,0
"view",highwater2048_live16,stress,unregistered,16,2048,2048,4096,6,4096,0,0,93026,10000000,2271.142578125,0,false,0
"view",highwater2048_live16,stress,unregistered,16,2048,2048,4096,7,4096,0,0,91756,10000000,2240.13671875,0,false,0
"view",highwater2048_live16,stress,late_duplicate,16,2048,2048,4096,0,4096,4096,4096,94619,10000000,2310.0341796875,0,false,0
"view",highwater2048_live16,stress,late_duplicate,16,2048,2048,4096,1,4096,4096,4096,87940,10000000,2146.97265625,0,false,0
"view",highwater2048_live16,stress,late_duplicate,16,2048,2048,4096,2,4096,4096,4096,91281,10000000,2228.5400390625,0,false,0
"view",highwater2048_live16,stress,late_duplicate,16,2048,2048,4096,3,4096,4096,4096,90805,10000000,2216.9189453125,0,false,0
"view",highwater2048_live16,stress,late_duplicate,16,2048,2048,4096,4,4096,4096,4096,94959,10000000,2318.3349609375,0,false,0
"view",highwater2048_live16,stress,late_duplicate,16,2048,2048,4096,5,4096,4096,4096,89705,10000000,2190.0634765625,0,false,0
"view",highwater2048_live16,stress,late_duplicate,16,2048,2048,4096,6,4096,4096,4096,91642,10000000,2237.353515625,0,false,0
"view",highwater2048_live16,stress,late_duplicate,16,2048,2048,4096,7,4096,4096,4096,108503,10000000,2648.9990234375,0,false,0
