run,case,mesh_slots,round,order,region,version,ticks,freq,iterations,native_arrays,payload_bytes,cleared_payload_bytes
"player00",box,2,0,-1,empty_batch,empty,0,10000000,1024,0,0,0
"player00",box,2,0,0,allocation_release,baseline,5672,10000000,1024,4,66,2
"player00",box,2,0,1,allocation_release,candidate,1412,10000000,1024,1,72,72
"player00",box,2,0,2,allocation_release,candidate,1410,10000000,1024,1,72,72
"player00",box,2,0,3,allocation_release,baseline,5781,10000000,1024,4,66,2
"player00",box,2,1,-1,empty_batch,empty,0,10000000,1024,0,0,0
"player00",box,2,1,0,allocation_release,baseline,5757,10000000,1024,4,66,2
"player00",box,2,1,1,allocation_release,candidate,1418,10000000,1024,1,72,72
"player00",box,2,1,2,allocation_release,candidate,1407,10000000,1024,1,72,72
"player00",box,2,1,3,allocation_release,baseline,5634,10000000,1024,4,66,2
"player00",box,2,2,-1,empty_batch,empty,0,10000000,1024,0,0,0
"player00",box,2,2,0,allocation_release,baseline,5723,10000000,1024,4,66,2
"player00",box,2,2,1,allocation_release,candidate,1421,10000000,1024,1,72,72
"player00",box,2,2,2,allocation_release,candidate,1406,10000000,1024,1,72,72
"player00",box,2,2,3,allocation_release,baseline,5705,10000000,1024,4,66,2
"player00",box,2,3,-1,empty_batch,empty,0,10000000,1024,0,0,0
"player00",box,2,3,0,allocation_release,baseline,5701,10000000,1024,4,66,2
"player00",box,2,3,1,allocation_release,candidate,1417,10000000,1024,1,72,72
"player00",box,2,3,2,allocation_release,candidate,1412,10000000,1024,1,72,72
"player00",box,2,3,3,allocation_release,baseline,5654,10000000,1024,4,66,2
"player00",box,2,4,-1,empty_batch,empty,0,10000000,1024,0,0,0
"player00",box,2,4,0,allocation_release,baseline,5787,10000000,1024,4,66,2
"player00",box,2,4,1,allocation_release,candidate,1417,10000000,1024,1,72,72
"player00",box,2,4,2,allocation_release,candidate,1404,10000000,1024,1,72,72
"player00",box,2,4,3,allocation_release,baseline,5674,10000000,1024,4,66,2
"player00",box,2,5,-1,empty_batch,empty,0,10000000,1024,0,0,0
"player00",box,2,5,0,allocation_release,baseline,5745,10000000,1024,4,66,2
"player00",box,2,5,1,allocation_release,candidate,1413,10000000,1024,1,72,72
"player00",box,2,5,2,allocation_release,candidate,1407,10000000,1024,1,72,72
"player00",box,2,5,3,allocation_release,baseline,5661,10000000,1024,4,66,2
"player00",box,2,6,-1,empty_batch,empty,0,10000000,1024,0,0,0
"player00",box,2,6,0,allocation_release,baseline,5678,10000000,1024,4,66,2
