case,case_order,round,order,mode,warmup,span_id,span,ticks,thread_cycles,count,frequency,positive_colliders,negative_colliders,build_positive_first,activate_positive_first,published,validated,cleaned
box,0,-1,0,0,1,0,buildtotal,584,127528,1,10000000,1,1,1,0,1,1,1
box,0,-1,0,0,1,1,objects+,236,50012,1,10000000,1,1,1,0,1,1,1
box,0,-1,0,0,1,2,objects-,88,18728,1,10000000,1,1,1,0,1,1,1
box,0,-1,0,0,1,3,colliders+,34,7374,1,10000000,1,1,1,0,1,1,1
box,0,-1,0,0,1,4,colliders-,10,2335,1,10000000,1,1,1,0,1,1,1
box,0,-1,0,0,1,5,publishtotal,484,102076,1,10000000,1,1,1,0,1,1,1
box,0,-1,0,0,1,6,SetActive+,150,32143,1,10000000,1,1,1,0,1,1,1
box,0,-1,0,0,1,7,SetActive-,144,30562,1,10000000,1,1,1,0,1,1,1
box,0,-1,0,0,1,8,BuildSide+,283,59369,1,10000000,1,1,1,0,1,1,1
box,0,-1,0,0,1,9,BuildSide-,104,21970,1,10000000,1,1,1,0,1,1,1
box,0,-1,0,0,1,10,newRoot+,81,17500,1,10000000,1,1,1,0,1,1,1
box,0,-1,0,0,1,11,newRoot-,21,4754,1,10000000,1,1,1,0,1,1,1
box,0,-1,1,1,1,0,buildtotal,335,70752,1,10000000,1,1,0,0,1,1,1
box,0,-1,1,1,1,1,objects+,70,14779,1,10000000,1,1,0,0,1,1,1
box,0,-1,1,1,1,2,objects-,128,27325,1,10000000,1,1,0,0,1,1,1
box,0,-1,1,1,1,3,colliders+,9,2212,1,10000000,1,1,0,0,1,1,1
box,0,-1,1,1,1,4,colliders-,17,4036,1,10000000,1,1,0,0,1,1,1
box,0,-1,1,1,1,5,publishtotal,286,60259,1,10000000,1,1,0,0,1,1,1
box,0,-1,1,1,1,6,SetActive+,104,22385,1,10000000,1,1,0,0,1,1,1
box,0,-1,1,1,1,7,SetActive-,79,17162,1,10000000,1,1,0,0,1,1,1
box,0,-1,1,1,1,8,BuildSide+,85,17842,1,10000000,1,1,0,0,1,1,1
box,0,-1,1,1,1,9,BuildSide-,155,32848,1,10000000,1,1,0,0,1,1,1
box,0,-1,1,1,1,10,newRoot+,22,4995,1,10000000,1,1,0,0,1,1,1
box,0,-1,1,1,1,11,newRoot-,40,8708,1,10000000,1,1,0,0,1,1,1
box,0,-1,2,3,1,0,buildtotal,422,88963,1,10000000,1,1,0,1,1,1,1
box,0,-1,2,3,1,1,objects+,69,14750,1,10000000,1,1,0,1,1,1,1
box,0,-1,2,3,1,2,objects-,162,34383,1,10000000,1,1,0,1,1,1,1
box,0,-1,2,3,1,3,colliders+,10,2281,1,10000000,1,1,0,1,1,1,1
box,0,-1,2,3,1,4,colliders-,19,4137,1,10000000,1,1,0,1,1,1,1
box,0,-1,2,3,1,5,publishtotal,328,68992,1,10000000,1,1,0,1,1,1,1
box,0,-1,2,3,1,6,SetActive+,171,36450,1,10000000,1,1,0,1,1,1,1
box,0,-1,2,3,1,7,SetActive-,29,6347,1,10000000,1,1,0,1,1,1,1
box,0,-1,2,3,1,8,BuildSide+,85,17865,1,10000000,1,1,0,1,1,1,1
box,0,-1,2,3,1,9,BuildSide-,194,40811,1,10000000,1,1,0,1,1,1,1
box,0,-1,2,3,1,10,newRoot+,19,4451,1,10000000,1,1,0,1,1,1,1
box,0,-1,2,3,1,11,newRoot-,42,9261,1,10000000,1,1,0,1,1,1,1
box,0,-1,3,2,1,0,buildtotal,456,96954,1,10000000,1,1,1,1,1,1,1
box,0,-1,3,2,1,1,objects+,181,38300,1,10000000,1,1,1,1,1,1,1
box,0,-1,3,2,1,2,objects-,67,14190,1,10000000,1,1,1,1,1,1,1
box,0,-1,3,2,1,3,colliders+,18,4125,1,10000000,1,1,1,1,1,1,1
box,0,-1,3,2,1,4,colliders-,10,2369,1,10000000,1,1,1,1,1,1,1
box,0,-1,3,2,1,5,publishtotal,344,72506,1,10000000,1,1,1,1,1,1,1
box,0,-1,3,2,1,6,SetActive+,190,40392,1,10000000,1,1,1,1,1,1,1
box,0,-1,3,2,1,7,SetActive-,31,6902,1,10000000,1,1,1,1,1,1,1
box,0,-1,3,2,1,8,BuildSide+,217,45719,1,10000000,1,1,1,1,1,1,1
box,0,-1,3,2,1,9,BuildSide-,83,17439,1,10000000,1,1,1,1,1,1,1
box,0,-1,3,2,1,10,newRoot+,58,12719,1,10000000,1,1,1,1,1,1,1
box,0,-1,3,2,1,11,newRoot-,19,4325,1,10000000,1,1,1,1,1,1,1
box,0,0,0,0,0,0,buildtotal,454,95982,1,10000000,1,1,1,0,1,1,1
box,0,0,0,0,0,1,objects+,174,36957,1,10000000,1,1,1,0,1,1,1
box,0,0,0,0,0,2,objects-,71,15217,1,10000000,1,1,1,0,1,1,1
box,0,0,0,0,0,3,colliders+,20,4475,1,10000000,1,1,1,0,1,1,1
box,0,0,0,0,0,4,colliders-,10,2237,1,10000000,1,1,1,0,1,1,1
box,0,0,0,0,0,5,publishtotal,341,71938,1,10000000,1,1,1,0,1,1,1
box,0,0,0,0,0,6,SetActive+,136,28846,1,10000000,1,1,1,0,1,1,1
box,0,0,0,0,0,7,SetActive-,85,18176,1,10000000,1,1,1,0,1,1,1
box,0,0,0,0,0,8,BuildSide+,207,43363,1,10000000,1,1,1,0,1,1,1
box,0,0,0,0,0,9,BuildSide-,88,18354,1,10000000,1,1,1,0,1,1,1
box,0,0,0,0,0,10,newRoot+,51,11185,1,10000000,1,1,1,0,1,1,1
box,0,0,0,0,0,11,newRoot-,20,4417,1,10000000,1,1,1,0,1,1,1
box,0,0,1,1,0,0,buildtotal,463,98272,1,10000000,1,1,0,0,1,1,1
box,0,0,1,1,0,1,objects+,72,15222,1,10000000,1,1,0,0,1,1,1
box,0,0,1,1,0,2,objects-,158,33305,1,10000000,1,1,0,0,1,1,1
box,0,0,1,1,0,3,colliders+,13,3043,1,10000000,1,1,0,0,1,1,1
box,0,0,1,1,0,4,colliders-,20,4400,1,10000000,1,1,0,0,1,1,1
box,0,0,1,1,0,5,publishtotal,363,76486,1,10000000,1,1,0,0,1,1,1
box,0,0,1,1,0,6,SetActive+,149,31805,1,10000000,1,1,0,0,1,1,1
box,0,0,1,1,0,7,SetActive-,92,19582,1,10000000,1,1,0,0,1,1,1
box,0,0,1,1,0,8,BuildSide+,91,19169,1,10000000,1,1,0,0,1,1,1
box,0,0,1,1,0,9,BuildSide-,191,40246,1,10000000,1,1,0,0,1,1,1
box,0,0,1,1,0,10,newRoot+,24,5386,1,10000000,1,1,0,0,1,1,1
box,0,0,1,1,0,11,newRoot-,41,8961,1,10000000,1,1,0,0,1,1,1
box,0,0,2,3,0,0,buildtotal,451,95662,1,10000000,1,1,0,1,1,1,1
box,0,0,2,3,0,1,objects+,68,14621,1,10000000,1,1,0,1,1,1,1
box,0,0,2,3,0,2,objects-,157,33501,1,10000000,1,1,0,1,1,1,1
box,0,0,2,3,0,3,colliders+,13,2870,1,10000000,1,1,0,1,1,1,1
box,0,0,2,3,0,4,colliders-,19,4335,1,10000000,1,1,0,1,1,1,1
box,0,0,2,3,0,5,publishtotal,355,74842,1,10000000,1,1,0,1,1,1,1
box,0,0,2,3,0,6,SetActive+,192,40890,1,10000000,1,1,0,1,1,1,1
