run,case,round,order,version,ticks,freq,iterations
"player00",box,0,0,baseline,5630,10000000,1024
"player00",box,0,1,candidate,2455,10000000,1024
"player00",box,0,2,candidate,2455,10000000,1024
"player00",box,0,3,baseline,6275,10000000,1024
"player00",box,1,0,baseline,6076,10000000,1024
"player00",box,1,1,candidate,2458,10000000,1024
"player00",box,1,2,candidate,2492,10000000,1024
"player00",box,1,3,baseline,5692,10000000,1024
"player00",box,2,0,baseline,5656,10000000,1024
"player00",box,2,1,candidate,2457,10000000,1024
"player00",box,2,2,candidate,2454,10000000,1024
"player00",box,2,3,baseline,5661,10000000,1024
"player00",box,3,0,baseline,5641,10000000,1024
"player00",box,3,1,candidate,2454,10000000,1024
"player00",box,3,2,candidate,2456,10000000,1024
"player00",box,3,3,baseline,5633,10000000,1024
"player00",box,4,0,baseline,5928,10000000,1024
"player00",box,4,1,candidate,2458,10000000,1024
"player00",box,4,2,candidate,3093,10000000,1024
"player00",box,4,3,baseline,5637,10000000,1024
"player00",box,5,0,baseline,5654,10000000,1024
"player00",box,5,1,candidate,2463,10000000,1024
"player00",box,5,2,candidate,2462,10000000,1024
"player00",box,5,3,baseline,5680,10000000,1024
"player00",box,6,0,baseline,5946,10000000,1024
"player00",box,6,1,candidate,2461,10000000,1024
"player00",box,6,2,candidate,2453,10000000,1024
"player00",box,6,3,baseline,5638,10000000,1024
"player00",box,7,0,baseline,5820,10000000,1024
"player00",box,7,1,candidate,2457,10000000,1024
"player00",box,7,2,candidate,2454,10000000,1024
"player00",box,7,3,baseline,5688,10000000,1024
"player00",character,0,0,baseline,5755,10000000,1024
"player00",character,0,1,candidate,2452,10000000,1024
"player00",character,0,2,candidate,2452,10000000,1024
"player00",character,0,3,baseline,5759,10000000,1024
"player00",character,1,0,baseline,5771,10000000,1024
"player00",character,1,1,candidate,2457,10000000,1024
"player00",character,1,2,candidate,2451,10000000,1024
"player00",character,1,3,baseline,6314,10000000,1024
"player00",character,2,0,baseline,5780,10000000,1024
"player00",character,2,1,candidate,2513,10000000,1024
"player00",character,2,2,candidate,2456,10000000,1024
"player00",character,2,3,baseline,5829,10000000,1024
"player00",character,3,0,baseline,5773,10000000,1024
"player00",character,3,1,candidate,2455,10000000,1024
"player00",character,3,2,candidate,2497,10000000,1024
"player00",character,3,3,baseline,5761,10000000,1024
"player00",character,4,0,baseline,5813,10000000,1024
"player00",character,4,1,candidate,2457,10000000,1024
"player00",character,4,2,candidate,2451,10000000,1024
"player00",character,4,3,baseline,6084,10000000,1024
"player00",character,5,0,baseline,5841,10000000,1024
"player00",character,5,1,candidate,2455,10000000,1024
"player00",character,5,2,candidate,2476,10000000,1024
"player00",character,5,3,baseline,5776,10000000,1024
"player00",character,6,0,baseline,5820,10000000,1024
"player00",character,6,1,candidate,2499,10000000,1024
"player00",character,6,2,candidate,2454,10000000,1024
"player00",character,6,3,baseline,6564,10000000,1024
"player00",character,7,0,baseline,6909,10000000,1024
"player00",character,7,1,candidate,2747,10000000,1024
"player00",character,7,2,candidate,2452,10000000,1024
"player00",character,7,3,baseline,5763,10000000,1024
