variant,case,region,sample,iterations,elapsed_ticks,allocated_bytes,counter_responded,frequency
all,box,shape_pair_create_dispose,0,256,5338,-1,False,10000000
all,box,shape_pair_create_dispose,1,256,11414,-1,False,10000000
all,box,shape_pair_create_dispose,2,256,5262,-1,False,10000000
all,box,shape_pair_create_dispose,3,256,5909,-1,False,10000000
all,box,shape_pair_create_dispose,4,256,6109,-1,False,10000000
all,box,shape_pair_create_dispose,5,256,6492,-1,False,10000000
all,box,shape_pair_create_dispose,6,256,6507,-1,False,10000000
all,box,shape_pair_create_dispose,7,256,6569,-1,False,10000000
all,box,box_mass_divide,0,1024,39148,-1,False,10000000
all,box,box_mass_divide,1,1024,37808,-1,False,10000000
all,box,box_mass_divide,2,1024,37396,-1,False,10000000
all,box,box_mass_divide,3,1024,37665,-1,False,10000000
all,box,box_mass_divide,4,1024,38761,-1,False,10000000
all,box,box_mass_divide,5,1024,38167,-1,False,10000000
all,box,box_mass_divide,6,1024,38080,-1,False,10000000
all,box,box_mass_divide,7,1024,38411,-1,False,10000000
all,box,provisional_build,0,1,357,-1,False,10000000
all,box,prepare_colliders,0,1,53,-1,False,10000000
all,box,adopt_colliders,0,1,28,-1,False,10000000
all,box,provisional_build,1,1,379,-1,False,10000000
all,box,prepare_colliders,1,1,44,-1,False,10000000
all,box,adopt_colliders,1,1,26,-1,False,10000000
all,box,provisional_build,2,1,361,-1,False,10000000
all,box,prepare_colliders,2,1,45,-1,False,10000000
all,box,adopt_colliders,2,1,27,-1,False,10000000
all,box,provisional_build,3,1,351,-1,False,10000000
all,box,prepare_colliders,3,1,44,-1,False,10000000
all,box,adopt_colliders,3,1,26,-1,False,10000000
all,box,provisional_build,4,1,349,-1,False,10000000
all,box,prepare_colliders,4,1,42,-1,False,10000000
all,box,adopt_colliders,4,1,26,-1,False,10000000
all,box,provisional_build,5,1,359,-1,False,10000000
all,box,prepare_colliders,5,1,45,-1,False,10000000
all,box,adopt_colliders,5,1,26,-1,False,10000000
all,box,provisional_build,6,1,369,-1,False,10000000
all,box,prepare_colliders,6,1,56,-1,False,10000000
all,box,adopt_colliders,6,1,27,-1,False,10000000
all,box,provisional_build,7,1,372,-1,False,10000000
all,box,prepare_colliders,7,1,45,-1,False,10000000
all,box,adopt_colliders,7,1,26,-1,False,10000000
all,box,provisional_build,8,1,344,-1,False,10000000
all,box,prepare_colliders,8,1,43,-1,False,10000000
all,box,adopt_colliders,8,1,25,-1,False,10000000
all,box,provisional_build,9,1,338,-1,False,10000000
all,box,prepare_colliders,9,1,43,-1,False,10000000
all,box,adopt_colliders,9,1,26,-1,False,10000000
all,box,provisional_build,10,1,337,-1,False,10000000
all,box,prepare_colliders,10,1,45,-1,False,10000000
all,box,adopt_colliders,10,1,24,-1,False,10000000
all,box,provisional_build,11,1,355,-1,False,10000000
all,box,prepare_colliders,11,1,47,-1,False,10000000
all,box,adopt_colliders,11,1,25,-1,False,10000000
all,box,provisional_build,12,1,354,-1,False,10000000
all,box,prepare_colliders,12,1,45,-1,False,10000000
all,box,adopt_colliders,12,1,26,-1,False,10000000
all,box,provisional_build,13,1,339,-1,False,10000000
all,box,prepare_colliders,13,1,53,-1,False,10000000
all,box,adopt_colliders,13,1,25,-1,False,10000000
all,box,provisional_build,14,1,345,-1,False,10000000
all,box,prepare_colliders,14,1,44,-1,False,10000000
all,box,adopt_colliders,14,1,25,-1,False,10000000
all,box,provisional_build,15,1,337,-1,False,10000000
all,box,prepare_colliders,15,1,44,-1,False,10000000
all,box,adopt_colliders,15,1,26,-1,False,10000000
all,box,provisional_build,16,1,353,-1,False,10000000
all,box,prepare_colliders,16,1,47,-1,False,10000000
all,box,adopt_colliders,16,1,24,-1,False,10000000
all,box,provisional_build,17,1,332,-1,False,10000000
all,box,prepare_colliders,17,1,43,-1,False,10000000
all,box,adopt_colliders,17,1,25,-1,False,10000000
all,box,provisional_build,18,1,375,-1,False,10000000
all,box,prepare_colliders,18,1,46,-1,False,10000000
all,box,adopt_colliders,18,1,25,-1,False,10000000
all,box,provisional_build,19,1,346,-1,False,10000000
all,box,prepare_colliders,19,1,41,-1,False,10000000
all,box,adopt_colliders,19,1,24,-1,False,10000000
all,box,provisional_build,20,1,309,-1,False,10000000
all,box,prepare_colliders,20,1,42,-1,False,10000000
all,box,adopt_colliders,20,1,20,-1,False,10000000
all,box,provisional_build,21,1,347,-1,False,10000000
all,box,prepare_colliders,21,1,41,-1,False,10000000
all,box,adopt_colliders,21,1,24,-1,False,10000000
all,box,provisional_build,22,1,342,-1,False,10000000
all,box,prepare_colliders,22,1,41,-1,False,10000000
all,box,adopt_colliders,22,1,24,-1,False,10000000
all,box,provisional_build,23,1,353,-1,False,10000000
all,box,prepare_colliders,23,1,45,-1,False,10000000
all,box,adopt_colliders,23,1,26,-1,False,10000000
all,box,provisional_build,24,1,343,-1,False,10000000
all,box,prepare_colliders,24,1,42,-1,False,10000000
