run,case,mesh_slots,round,order,region,version,ticks,freq,iterations,native_arrays,payload_bytes,cleared_payload_bytes
"il2cpp-build2",box,2,0,-1,empty_batch,empty,0,10000000,1024,0,0,0
"il2cpp-build2",box,2,0,0,allocation_release,baseline,6604,10000000,1024,4,66,2
"il2cpp-build2",box,2,0,1,allocation_release,candidate,1631,10000000,1024,1,72,72
"il2cpp-build2",box,2,0,2,allocation_release,candidate,1631,10000000,1024,1,72,72
"il2cpp-build2",box,2,0,3,allocation_release,baseline,6634,10000000,1024,4,66,2
"il2cpp-build2",box,2,1,-1,empty_batch,empty,1,10000000,1024,0,0,0
"il2cpp-build2",box,2,1,0,allocation_release,baseline,6735,10000000,1024,4,66,2
"il2cpp-build2",box,2,1,1,allocation_release,candidate,1664,10000000,1024,1,72,72
"il2cpp-build2",box,2,1,2,allocation_release,candidate,1636,10000000,1024,1,72,72
"il2cpp-build2",box,2,1,3,allocation_release,baseline,6625,10000000,1024,4,66,2
"il2cpp-build2",box,2,2,-1,empty_batch,empty,1,10000000,1024,0,0,0
"il2cpp-build2",box,2,2,0,allocation_release,baseline,6704,10000000,1024,4,66,2
"il2cpp-build2",box,2,2,1,allocation_release,candidate,1646,10000000,1024,1,72,72
"il2cpp-build2",box,2,2,2,allocation_release,candidate,1637,10000000,1024,1,72,72
"il2cpp-build2",box,2,2,3,allocation_release,baseline,6729,10000000,1024,4,66,2
"il2cpp-build2",box,2,3,-1,empty_batch,empty,1,10000000,1024,0,0,0
"il2cpp-build2",box,2,3,0,allocation_release,baseline,6692,10000000,1024,4,66,2
"il2cpp-build2",box,2,3,1,allocation_release,candidate,1640,10000000,1024,1,72,72
"il2cpp-build2",box,2,3,2,allocation_release,candidate,1634,10000000,1024,1,72,72
"il2cpp-build2",box,2,3,3,allocation_release,baseline,6630,10000000,1024,4,66,2
"il2cpp-build2",box,2,4,-1,empty_batch,empty,0,10000000,1024,0,0,0
"il2cpp-build2",box,2,4,0,allocation_release,baseline,7092,10000000,1024,4,66,2
"il2cpp-build2",box,2,4,1,allocation_release,candidate,1640,10000000,1024,1,72,72
"il2cpp-build2",box,2,4,2,allocation_release,candidate,1636,10000000,1024,1,72,72
"il2cpp-build2",box,2,4,3,allocation_release,baseline,6645,10000000,1024,4,66,2
"il2cpp-build2",box,2,5,-1,empty_batch,empty,0,10000000,1024,0,0,0
"il2cpp-build2",box,2,5,0,allocation_release,baseline,6700,10000000,1024,4,66,2
"il2cpp-build2",box,2,5,1,allocation_release,candidate,1739,10000000,1024,1,72,72
"il2cpp-build2",box,2,5,2,allocation_release,candidate,1630,10000000,1024,1,72,72
"il2cpp-build2",box,2,5,3,allocation_release,baseline,6831,10000000,1024,4,66,2
"il2cpp-build2",box,2,6,-1,empty_batch,empty,1,10000000,1024,0,0,0
"il2cpp-build2",box,2,6,0,allocation_release,baseline,6860,10000000,1024,4,66,2
"il2cpp-build2",box,2,6,1,allocation_release,candidate,1679,10000000,1024,1,72,72
"il2cpp-build2",box,2,6,2,allocation_release,candidate,1672,10000000,1024,1,72,72
"il2cpp-build2",box,2,6,3,allocation_release,baseline,6790,10000000,1024,4,66,2
"il2cpp-build2",box,2,7,-1,empty_batch,empty,0,10000000,1024,0,0,0
"il2cpp-build2",box,2,7,0,allocation_release,baseline,6839,10000000,1024,4,66,2
"il2cpp-build2",box,2,7,1,allocation_release,candidate,1677,10000000,1024,1,72,72
"il2cpp-build2",box,2,7,2,allocation_release,candidate,1668,10000000,1024,1,72,72
"il2cpp-build2",box,2,7,3,allocation_release,baseline,6751,10000000,1024,4,66,2
"il2cpp-build2",character,10,0,-1,empty_batch,empty,0,10000000,1024,0,0,0
"il2cpp-build2",character,10,0,0,allocation_release,baseline,6842,10000000,1024,4,330,10
"il2cpp-build2",character,10,0,1,allocation_release,candidate,1735,10000000,1024,1,360,360
"il2cpp-build2",character,10,0,2,allocation_release,candidate,1735,10000000,1024,1,360,360
"il2cpp-build2",character,10,0,3,allocation_release,baseline,6827,10000000,1024,4,330,10
"il2cpp-build2",character,10,1,-1,empty_batch,empty,0,10000000,1024,0,0,0
"il2cpp-build2",character,10,1,0,allocation_release,baseline,6984,10000000,1024,4,330,10
"il2cpp-build2",character,10,1,1,allocation_release,candidate,1742,10000000,1024,1,360,360
"il2cpp-build2",character,10,1,2,allocation_release,candidate,1737,10000000,1024,1,360,360
"il2cpp-build2",character,10,1,3,allocation_release,baseline,6820,10000000,1024,4,330,10
"il2cpp-build2",character,10,2,-1,empty_batch,empty,0,10000000,1024,0,0,0
"il2cpp-build2",character,10,2,0,allocation_release,baseline,6890,10000000,1024,4,330,10
"il2cpp-build2",character,10,2,1,allocation_release,candidate,1746,10000000,1024,1,360,360
"il2cpp-build2",character,10,2,2,allocation_release,candidate,1831,10000000,1024,1,360,360
"il2cpp-build2",character,10,2,3,allocation_release,baseline,6869,10000000,1024,4,330,10
"il2cpp-build2",character,10,3,-1,empty_batch,empty,0,10000000,1024,0,0,0
"il2cpp-build2",character,10,3,0,allocation_release,baseline,6915,10000000,1024,4,330,10
"il2cpp-build2",character,10,3,1,allocation_release,candidate,1744,10000000,1024,1,360,360
"il2cpp-build2",character,10,3,2,allocation_release,candidate,1741,10000000,1024,1,360,360
"il2cpp-build2",character,10,3,3,allocation_release,baseline,6845,10000000,1024,4,330,10
"il2cpp-build2",character,10,4,-1,empty_batch,empty,0,10000000,1024,0,0,0
"il2cpp-build2",character,10,4,0,allocation_release,baseline,6935,10000000,1024,4,330,10
"il2cpp-build2",character,10,4,1,allocation_release,candidate,1742,10000000,1024,1,360,360
"il2cpp-build2",character,10,4,2,allocation_release,candidate,1738,10000000,1024,1,360,360
"il2cpp-build2",character,10,4,3,allocation_release,baseline,6840,10000000,1024,4,330,10
"il2cpp-build2",character,10,5,-1,empty_batch,empty,0,10000000,1024,0,0,0
"il2cpp-build2",character,10,5,0,allocation_release,baseline,6899,10000000,1024,4,330,10
"il2cpp-build2",character,10,5,1,allocation_release,candidate,1739,10000000,1024,1,360,360
"il2cpp-build2",character,10,5,2,allocation_release,candidate,1736,10000000,1024,1,360,360
"il2cpp-build2",character,10,5,3,allocation_release,baseline,6801,10000000,1024,4,330,10
"il2cpp-build2",character,10,6,-1,empty_batch,empty,0,10000000,1024,0,0,0
"il2cpp-build2",character,10,6,0,allocation_release,baseline,7162,10000000,1024,4,330,10
"il2cpp-build2",character,10,6,1,allocation_release,candidate,1744,10000000,1024,1,360,360
"il2cpp-build2",character,10,6,2,allocation_release,candidate,1740,10000000,1024,1,360,360
"il2cpp-build2",character,10,6,3,allocation_release,baseline,7123,10000000,1024,4,330,10
"il2cpp-build2",character,10,7,-1,empty_batch,empty,0,10000000,1024,0,0,0
"il2cpp-build2",character,10,7,0,allocation_release,baseline,7150,10000000,1024,4,330,10
"il2cpp-build2",character,10,7,1,allocation_release,candidate,1749,10000000,1024,1,360,360
"il2cpp-build2",character,10,7,2,allocation_release,candidate,1847,10000000,1024,1,360,360
"il2cpp-build2",character,10,7,3,allocation_release,baseline,6941,10000000,1024,4,330,10
