case,case_order,round,order,mode,warmup,span_id,span,ticks,thread_cycles,count,frequency,positive_colliders,negative_colliders,build_positive_first,activate_positive_first,published,validated,cleaned
box,0,-1,0,0,1,0,buildtotal,1181,251093,1,10000000,1,1,1,0,1,1,1
box,0,-1,0,0,1,1,objects+,666,141284,1,10000000,1,1,1,0,1,1,1
box,0,-1,0,0,1,2,objects-,104,22241,1,10000000,1,1,1,0,1,1,1
box,0,-1,0,0,1,3,colliders+,60,13080,1,10000000,1,1,1,0,1,1,1
box,0,-1,0,0,1,4,colliders-,12,2941,1,10000000,1,1,1,0,1,1,1
box,0,-1,0,0,1,5,publishtotal,817,172413,1,10000000,1,1,1,0,1,1,1
box,0,-1,0,0,1,6,SetActive+,183,39162,1,10000000,1,1,1,0,1,1,1
box,0,-1,0,0,1,7,SetActive-,344,73128,1,10000000,1,1,1,0,1,1,1
box,0,-1,0,0,1,8,BuildSide+,746,157120,1,10000000,1,1,1,0,1,1,1
box,0,-1,0,0,1,9,BuildSide-,125,26185,1,10000000,1,1,1,0,1,1,1
box,0,-1,0,0,1,10,newRoot+,335,71093,1,10000000,1,1,1,0,1,1,1
box,0,-1,0,0,1,11,newRoot-,35,7772,1,10000000,1,1,1,0,1,1,1
box,0,-1,1,1,1,0,buildtotal,1088,232248,1,10000000,1,1,0,0,1,1,1
box,0,-1,1,1,1,1,objects+,103,21908,1,10000000,1,1,0,0,1,1,1
box,0,-1,1,1,1,2,objects-,591,124843,1,10000000,1,1,0,0,1,1,1
box,0,-1,1,1,1,3,colliders+,14,3066,1,10000000,1,1,0,0,1,1,1
box,0,-1,1,1,1,4,colliders-,75,16286,1,10000000,1,1,0,0,1,1,1
box,0,-1,1,1,1,5,publishtotal,962,202904,1,10000000,1,1,0,0,1,1,1
box,0,-1,1,1,1,6,SetActive+,202,43155,1,10000000,1,1,0,0,1,1,1
box,0,-1,1,1,1,7,SetActive-,401,85040,1,10000000,1,1,0,0,1,1,1
box,0,-1,1,1,1,8,BuildSide+,124,25924,1,10000000,1,1,0,0,1,1,1
box,0,-1,1,1,1,9,BuildSide-,694,146182,1,10000000,1,1,0,0,1,1,1
box,0,-1,1,1,1,10,newRoot+,39,8563,1,10000000,1,1,0,0,1,1,1
box,0,-1,1,1,1,11,newRoot-,306,64983,1,10000000,1,1,0,0,1,1,1
box,0,-1,2,3,1,0,buildtotal,616,129976,1,10000000,1,1,0,1,1,1,1
box,0,-1,2,3,1,1,objects+,82,17555,1,10000000,1,1,0,1,1,1,1
box,0,-1,2,3,1,2,objects-,293,61805,1,10000000,1,1,0,1,1,1,1
box,0,-1,2,3,1,3,colliders+,12,2846,1,10000000,1,1,0,1,1,1,1
box,0,-1,2,3,1,4,colliders-,36,7867,1,10000000,1,1,0,1,1,1,1
box,0,-1,2,3,1,5,publishtotal,495,104288,1,10000000,1,1,0,1,1,1,1
box,0,-1,2,3,1,6,SetActive+,269,57130,1,10000000,1,1,0,1,1,1,1
box,0,-1,2,3,1,7,SetActive-,40,8906,1,10000000,1,1,0,1,1,1,1
box,0,-1,2,3,1,8,BuildSide+,102,21398,1,10000000,1,1,0,1,1,1,1
box,0,-1,2,3,1,9,BuildSide-,341,71858,1,10000000,1,1,0,1,1,1,1
box,0,-1,2,3,1,10,newRoot+,26,5669,1,10000000,1,1,0,1,1,1,1
box,0,-1,2,3,1,11,newRoot-,132,28189,1,10000000,1,1,0,1,1,1,1
box,0,-1,3,2,1,0,buildtotal,544,115082,1,10000000,1,1,1,1,1,1,1
box,0,-1,3,2,1,1,objects+,212,45004,1,10000000,1,1,1,1,1,1,1
box,0,-1,3,2,1,2,objects-,89,19118,1,10000000,1,1,1,1,1,1,1
box,0,-1,3,2,1,3,colliders+,21,4814,1,10000000,1,1,1,1,1,1,1
box,0,-1,3,2,1,4,colliders-,10,2510,1,10000000,1,1,1,1,1,1,1
box,0,-1,3,2,1,5,publishtotal,418,88082,1,10000000,1,1,1,1,1,1,1
box,0,-1,3,2,1,6,SetActive+,232,49327,1,10000000,1,1,1,1,1,1,1
box,0,-1,3,2,1,7,SetActive-,36,8022,1,10000000,1,1,1,1,1,1,1
box,0,-1,3,2,1,8,BuildSide+,247,51918,1,10000000,1,1,1,1,1,1,1
box,0,-1,3,2,1,9,BuildSide-,107,22638,1,10000000,1,1,1,1,1,1,1
box,0,-1,3,2,1,10,newRoot+,63,13605,1,10000000,1,1,1,1,1,1,1
