variant,scenario,role,scope,live,slots_used_before_lookup,geometry_capacity,descriptor_capacity,sample,iterations,expected_true,observed_true,ticks,stopwatch_frequency,ns_per_call,allocated_bytes,allocation_counter_responded,allocation_probe_delta
"baseline",live16,representative,unregistered,16,16,2048,4096,0,4096,0,0,855,10000000,20.8740234375,0,false,0
"baseline",live16,representative,unregistered,16,16,2048,4096,1,4096,0,0,857,10000000,20.9228515625,0,false,0
"baseline",live16,representative,unregistered,16,16,2048,4096,2,4096,0,0,856,10000000,20.8984375,0,false,0
"baseline",live16,representative,unregistered,16,16,2048,4096,3,4096,0,0,856,10000000,20.8984375,0,false,0
"baseline",live16,representative,unregistered,16,16,2048,4096,4,4096,0,0,856,10000000,20.8984375,0,false,0
"baseline",live16,representative,unregistered,16,16,2048,4096,5,4096,0,0,855,10000000,20.8740234375,0,false,0
"baseline",live16,representative,unregistered,16,16,2048,4096,6,4096,0,0,855,10000000,20.8740234375,0,false,0
"baseline",live16,representative,unregistered,16,16,2048,4096,7,4096,0,0,855,10000000,20.8740234375,0,false,0
"baseline",live16,representative,late_duplicate,16,16,2048,4096,0,4096,4096,4096,850,10000000,20.751953125,0,false,0
"baseline",live16,representative,late_duplicate,16,16,2048,4096,1,4096,4096,4096,851,10000000,20.7763671875,0,false,0
"baseline",live16,representative,late_duplicate,16,16,2048,4096,2,4096,4096,4096,850,10000000,20.751953125,0,false,0
"baseline",live16,representative,late_duplicate,16,16,2048,4096,3,4096,4096,4096,851,10000000,20.7763671875,0,false,0
"baseline",live16,representative,late_duplicate,16,16,2048,4096,4,4096,4096,4096,853,10000000,20.8251953125,0,false,0
"baseline",live16,representative,late_duplicate,16,16,2048,4096,5,4096,4096,4096,853,10000000,20.8251953125,0,false,0
"baseline",live16,representative,late_duplicate,16,16,2048,4096,6,4096,4096,4096,1059,10000000,25.8544921875,0,false,0
"baseline",live16,representative,late_duplicate,16,16,2048,4096,7,4096,4096,4096,1020,10000000,24.90234375,0,false,0
"baseline",live32,representative,unregistered,32,32,2048,4096,0,4096,0,0,1989,10000000,48.5595703125,0,false,0
"baseline",live32,representative,unregistered,32,32,2048,4096,1,4096,0,0,2021,10000000,49.3408203125,0,false,0
"baseline",live32,representative,unregistered,32,32,2048,4096,2,4096,0,0,2115,10000000,51.6357421875,0,false,0
"baseline",live32,representative,unregistered,32,32,2048,4096,3,4096,0,0,2016,10000000,49.21875,0,false,0
"baseline",live32,representative,unregistered,32,32,2048,4096,4,4096,0,0,2013,10000000,49.1455078125,0,false,0
"baseline",live32,representative,unregistered,32,32,2048,4096,5,4096,0,0,1664,10000000,40.625,0,false,0
"baseline",live32,representative,unregistered,32,32,2048,4096,6,4096,0,0,2022,10000000,49.365234375,0,false,0
"baseline",live32,representative,unregistered,32,32,2048,4096,7,4096,0,0,2017,10000000,49.2431640625,0,false,0
"baseline",live32,representative,late_duplicate,32,32,2048,4096,0,4096,4096,4096,2157,10000000,52.6611328125,0,false,0
"baseline",live32,representative,late_duplicate,32,32,2048,4096,1,4096,4096,4096,2026,10000000,49.462890625,0,false,0
"baseline",live32,representative,late_duplicate,32,32,2048,4096,2,4096,4096,4096,2015,10000000,49.1943359375,0,false,0
"baseline",live32,representative,late_duplicate,32,32,2048,4096,3,4096,4096,4096,1999,10000000,48.8037109375,0,false,0
"baseline",live32,representative,late_duplicate,32,32,2048,4096,4,4096,4096,4096,1661,10000000,40.5517578125,0,false,0
"baseline",live32,representative,late_duplicate,32,32,2048,4096,5,4096,4096,4096,1662,10000000,40.576171875,0,false,0
"baseline",live32,representative,late_duplicate,32,32,2048,4096,6,4096,4096,4096,1662,10000000,40.576171875,0,false,0
"baseline",live32,representative,late_duplicate,32,32,2048,4096,7,4096,4096,4096,1659,10000000,40.5029296875,0,false,0
"baseline",live512,stress,unregistered,512,512,2048,4096,0,4096,0,0,27890,10000000,680.908203125,0,false,0
"baseline",live512,stress,unregistered,512,512,2048,4096,1,4096,0,0,28283,10000000,690.5029296875,0,false,0
"baseline",live512,stress,unregistered,512,512,2048,4096,2,4096,0,0,28262,10000000,689.990234375,0,false,0
"baseline",live512,stress,unregistered,512,512,2048,4096,3,4096,0,0,28622,10000000,698.779296875,0,false,0
"baseline",live512,stress,unregistered,512,512,2048,4096,4,4096,0,0,27569,10000000,673.0712890625,0,false,0
"baseline",live512,stress,unregistered,512,512,2048,4096,5,4096,0,0,28086,10000000,685.693359375,0,false,0
"baseline",live512,stress,unregistered,512,512,2048,4096,6,4096,0,0,28461,10000000,694.8486328125,0,false,0
"baseline",live512,stress,unregistered,512,512,2048,4096,7,4096,0,0,28619,10000000,698.7060546875,0,false,0
"baseline",live512,stress,late_duplicate,512,512,2048,4096,0,4096,4096,4096,28484,10000000,695.41015625,0,false,0
"baseline",live512,stress,late_duplicate,512,512,2048,4096,1,4096,4096,4096,28169,10000000,687.7197265625,0,false,0
"baseline",live512,stress,late_duplicate,512,512,2048,4096,2,4096,4096,4096,28637,10000000,699.1455078125,0,false,0
"baseline",live512,stress,late_duplicate,512,512,2048,4096,3,4096,4096,4096,28338,10000000,691.845703125,0,false,0
"baseline",live512,stress,late_duplicate,512,512,2048,4096,4,4096,4096,4096,28541,10000000,696.8017578125,0,false,0
"baseline",live512,stress,late_duplicate,512,512,2048,4096,5,4096,4096,4096,28117,10000000,686.4501953125,0,false,0
"baseline",live512,stress,late_duplicate,512,512,2048,4096,6,4096,4096,4096,28480,10000000,695.3125,0,false,0
"baseline",live512,stress,late_duplicate,512,512,2048,4096,7,4096,4096,4096,28712,10000000,700.9765625,0,false,0
"baseline",highwater2048_live16,stress,unregistered,16,2048,2048,4096,0,4096,0,0,86326,10000000,2107.568359375,0,false,0
"baseline",highwater2048_live16,stress,unregistered,16,2048,2048,4096,1,4096,0,0,77985,10000000,1903.9306640625,0,false,0
"baseline",highwater2048_live16,stress,unregistered,16,2048,2048,4096,2,4096,0,0,78273,10000000,1910.9619140625,0,false,0
"baseline",highwater2048_live16,stress,unregistered,16,2048,2048,4096,3,4096,0,0,77059,10000000,1881.3232421875,0,false,0
"baseline",highwater2048_live16,stress,unregistered,16,2048,2048,4096,4,4096,0,0,79965,10000000,1952.2705078125,0,false,0
"baseline",highwater2048_live16,stress,unregistered,16,2048,2048,4096,5,4096,0,0,84935,10000000,2073.6083984375,0,false,0
"baseline",highwater2048_live16,stress,unregistered,16,2048,2048,4096,6,4096,0,0,83246,10000000,2032.373046875,0,false,0
"baseline",highwater2048_live16,stress,unregistered,16,2048,2048,4096,7,4096,0,0,79053,10000000,1930.0048828125,0,false,0
"baseline",highwater2048_live16,stress,late_duplicate,16,2048,2048,4096,0,4096,4096,4096,89619,10000000,2187.9638671875,0,false,0
"baseline",highwater2048_live16,stress,late_duplicate,16,2048,2048,4096,1,4096,4096,4096,85367,10000000,2084.1552734375,0,false,0
"baseline",highwater2048_live16,stress,late_duplicate,16,2048,2048,4096,2,4096,4096,4096,85241,10000000,2081.0791015625,0,false,0
"baseline",highwater2048_live16,stress,late_duplicate,16,2048,2048,4096,3,4096,4096,4096,90280,10000000,2204.1015625,0,false,0
"baseline",highwater2048_live16,stress,late_duplicate,16,2048,2048,4096,4,4096,4096,4096,88466,10000000,2159.814453125,0,false,0
"baseline",highwater2048_live16,stress,late_duplicate,16,2048,2048,4096,5,4096,4096,4096,83941,10000000,2049.3408203125,0,false,0
"baseline",highwater2048_live16,stress,late_duplicate,16,2048,2048,4096,6,4096,4096,4096,84743,10000000,2068.9208984375,0,false,0
"baseline",highwater2048_live16,stress,late_duplicate,16,2048,2048,4096,7,4096,4096,4096,84261,10000000,2057.1533203125,0,false,0
