variant,case,region,sample,iterations,elapsed_ticks,allocated_bytes,counter_responded,frequency
mass,box,shape_pair_create_dispose,0,256,4814,-1,False,10000000
mass,box,shape_pair_create_dispose,1,256,4500,-1,False,10000000
mass,box,shape_pair_create_dispose,2,256,4465,-1,False,10000000
mass,box,shape_pair_create_dispose,3,256,4408,-1,False,10000000
mass,box,shape_pair_create_dispose,4,256,4435,-1,False,10000000
mass,box,shape_pair_create_dispose,5,256,4572,-1,False,10000000
mass,box,shape_pair_create_dispose,6,256,4350,-1,False,10000000
mass,box,shape_pair_create_dispose,7,256,4328,-1,False,10000000
mass,box,box_mass_divide,0,1024,40652,-1,False,10000000
mass,box,box_mass_divide,1,1024,38768,-1,False,10000000
mass,box,box_mass_divide,2,1024,38643,-1,False,10000000
mass,box,box_mass_divide,3,1024,39134,-1,False,10000000
mass,box,box_mass_divide,4,1024,39803,-1,False,10000000
mass,box,box_mass_divide,5,1024,38844,-1,False,10000000
mass,box,box_mass_divide,6,1024,38736,-1,False,10000000
mass,box,box_mass_divide,7,1024,38949,-1,False,10000000
mass,box,provisional_build,0,1,384,-1,False,10000000
mass,box,prepare_colliders,0,1,50,-1,False,10000000
mass,box,adopt_colliders,0,1,31,-1,False,10000000
mass,box,provisional_build,1,1,397,-1,False,10000000
mass,box,prepare_colliders,1,1,47,-1,False,10000000
mass,box,adopt_colliders,1,1,28,-1,False,10000000
mass,box,provisional_build,2,1,396,-1,False,10000000
mass,box,prepare_colliders,2,1,48,-1,False,10000000
mass,box,adopt_colliders,2,1,29,-1,False,10000000
mass,box,provisional_build,3,1,368,-1,False,10000000
mass,box,prepare_colliders,3,1,50,-1,False,10000000
mass,box,adopt_colliders,3,1,29,-1,False,10000000
mass,box,provisional_build,4,1,358,-1,False,10000000
mass,box,prepare_colliders,4,1,46,-1,False,10000000
mass,box,adopt_colliders,4,1,28,-1,False,10000000
mass,box,provisional_build,5,1,372,-1,False,10000000
mass,box,prepare_colliders,5,1,56,-1,False,10000000
mass,box,adopt_colliders,5,1,28,-1,False,10000000
mass,box,provisional_build,6,1,376,-1,False,10000000
mass,box,prepare_colliders,6,1,61,-1,False,10000000
mass,box,adopt_colliders,6,1,29,-1,False,10000000
mass,box,provisional_build,7,1,383,-1,False,10000000
mass,box,prepare_colliders,7,1,52,-1,False,10000000
mass,box,adopt_colliders,7,1,28,-1,False,10000000
mass,box,provisional_build,8,1,363,-1,False,10000000
mass,box,prepare_colliders,8,1,47,-1,False,10000000
mass,box,adopt_colliders,8,1,27,-1,False,10000000
mass,box,provisional_build,9,1,362,-1,False,10000000
mass,box,prepare_colliders,9,1,45,-1,False,10000000
mass,box,adopt_colliders,9,1,27,-1,False,10000000
mass,box,provisional_build,10,1,363,-1,False,10000000
mass,box,prepare_colliders,10,1,46,-1,False,10000000
mass,box,adopt_colliders,10,1,26,-1,False,10000000
mass,box,provisional_build,11,1,370,-1,False,10000000
mass,box,prepare_colliders,11,1,49,-1,False,10000000
mass,box,adopt_colliders,11,1,27,-1,False,10000000
mass,box,provisional_build,12,1,372,-1,False,10000000
mass,box,prepare_colliders,12,1,44,-1,False,10000000
mass,box,adopt_colliders,12,1,29,-1,False,10000000
mass,box,provisional_build,13,1,373,-1,False,10000000
mass,box,prepare_colliders,13,1,45,-1,False,10000000
mass,box,adopt_colliders,13,1,28,-1,False,10000000
mass,box,provisional_build,14,1,365,-1,False,10000000
mass,box,prepare_colliders,14,1,46,-1,False,10000000
mass,box,adopt_colliders,14,1,27,-1,False,10000000
mass,box,provisional_build,15,1,389,-1,False,10000000
mass,box,prepare_colliders,15,1,48,-1,False,10000000
mass,box,adopt_colliders,15,1,27,-1,False,10000000
mass,box,provisional_build,16,1,506,-1,False,10000000
mass,box,prepare_colliders,16,1,58,-1,False,10000000
mass,box,adopt_colliders,16,1,31,-1,False,10000000
mass,box,provisional_build,17,1,402,-1,False,10000000
mass,box,prepare_colliders,17,1,51,-1,False,10000000
mass,box,adopt_colliders,17,1,29,-1,False,10000000
mass,box,provisional_build,18,1,421,-1,False,10000000
mass,box,prepare_colliders,18,1,48,-1,False,10000000
mass,box,adopt_colliders,18,1,27,-1,False,10000000
mass,box,provisional_build,19,1,384,-1,False,10000000
mass,box,prepare_colliders,19,1,44,-1,False,10000000
mass,box,adopt_colliders,19,1,27,-1,False,10000000
mass,box,provisional_build,20,1,362,-1,False,10000000
mass,box,prepare_colliders,20,1,40,-1,False,10000000
mass,box,adopt_colliders,20,1,23,-1,False,10000000
mass,box,provisional_build,21,1,365,-1,False,10000000
mass,box,prepare_colliders,21,1,44,-1,False,10000000
mass,box,adopt_colliders,21,1,26,-1,False,10000000
mass,box,provisional_build,22,1,945,-1,False,10000000
mass,box,prepare_colliders,22,1,65,-1,False,10000000
mass,box,adopt_colliders,22,1,71,-1,False,10000000
mass,box,provisional_build,23,1,483,-1,False,10000000
mass,box,prepare_colliders,23,1,53,-1,False,10000000
