variant,case,region,sample,iterations,elapsed_ticks,allocated_bytes,counter_responded,frequency
colliders,box,shape_pair_create_dispose,0,256,4338,-1,False,10000000
colliders,box,shape_pair_create_dispose,1,256,4457,-1,False,10000000
colliders,box,shape_pair_create_dispose,2,256,4276,-1,False,10000000
colliders,box,shape_pair_create_dispose,3,256,4246,-1,False,10000000
colliders,box,shape_pair_create_dispose,4,256,4329,-1,False,10000000
colliders,box,shape_pair_create_dispose,5,256,4326,-1,False,10000000
colliders,box,shape_pair_create_dispose,6,256,4242,-1,False,10000000
colliders,box,shape_pair_create_dispose,7,256,4790,-1,False,10000000
colliders,box,box_mass_divide,0,1024,39528,-1,False,10000000
colliders,box,box_mass_divide,1,1024,38074,-1,False,10000000
colliders,box,box_mass_divide,2,1024,38378,-1,False,10000000
colliders,box,box_mass_divide,3,1024,38604,-1,False,10000000
colliders,box,box_mass_divide,4,1024,37431,-1,False,10000000
colliders,box,box_mass_divide,5,1024,37618,-1,False,10000000
colliders,box,box_mass_divide,6,1024,38273,-1,False,10000000
colliders,box,box_mass_divide,7,1024,41792,-1,False,10000000
colliders,box,provisional_build,0,1,375,-1,False,10000000
colliders,box,prepare_colliders,0,1,47,-1,False,10000000
colliders,box,adopt_colliders,0,1,28,-1,False,10000000
colliders,box,provisional_build,1,1,374,-1,False,10000000
colliders,box,prepare_colliders,1,1,45,-1,False,10000000
colliders,box,adopt_colliders,1,1,27,-1,False,10000000
colliders,box,provisional_build,2,1,360,-1,False,10000000
colliders,box,prepare_colliders,2,1,45,-1,False,10000000
colliders,box,adopt_colliders,2,1,27,-1,False,10000000
colliders,box,provisional_build,3,1,331,-1,False,10000000
colliders,box,prepare_colliders,3,1,44,-1,False,10000000
colliders,box,adopt_colliders,3,1,23,-1,False,10000000
colliders,box,provisional_build,4,1,369,-1,False,10000000
colliders,box,prepare_colliders,4,1,45,-1,False,10000000
colliders,box,adopt_colliders,4,1,27,-1,False,10000000
colliders,box,provisional_build,5,1,374,-1,False,10000000
colliders,box,prepare_colliders,5,1,43,-1,False,10000000
colliders,box,adopt_colliders,5,1,25,-1,False,10000000
colliders,box,provisional_build,6,1,366,-1,False,10000000
colliders,box,prepare_colliders,6,1,45,-1,False,10000000
colliders,box,adopt_colliders,6,1,27,-1,False,10000000
colliders,box,provisional_build,7,1,365,-1,False,10000000
colliders,box,prepare_colliders,7,1,54,-1,False,10000000
colliders,box,adopt_colliders,7,1,26,-1,False,10000000
colliders,box,provisional_build,8,1,347,-1,False,10000000
colliders,box,prepare_colliders,8,1,42,-1,False,10000000
colliders,box,adopt_colliders,8,1,26,-1,False,10000000
colliders,box,provisional_build,9,1,338,-1,False,10000000
colliders,box,prepare_colliders,9,1,44,-1,False,10000000
colliders,box,adopt_colliders,9,1,25,-1,False,10000000
colliders,box,provisional_build,10,1,340,-1,False,10000000
colliders,box,prepare_colliders,10,1,43,-1,False,10000000
colliders,box,adopt_colliders,10,1,24,-1,False,10000000
colliders,box,provisional_build,11,1,342,-1,False,10000000
colliders,box,prepare_colliders,11,1,49,-1,False,10000000
colliders,box,adopt_colliders,11,1,25,-1,False,10000000
colliders,box,provisional_build,12,1,363,-1,False,10000000
colliders,box,prepare_colliders,12,1,47,-1,False,10000000
colliders,box,adopt_colliders,12,1,27,-1,False,10000000
colliders,box,provisional_build,13,1,341,-1,False,10000000
colliders,box,prepare_colliders,13,1,47,-1,False,10000000
colliders,box,adopt_colliders,13,1,25,-1,False,10000000
colliders,box,provisional_build,14,1,342,-1,False,10000000
colliders,box,prepare_colliders,14,1,43,-1,False,10000000
colliders,box,adopt_colliders,14,1,25,-1,False,10000000
colliders,box,provisional_build,15,1,350,-1,False,10000000
colliders,box,prepare_colliders,15,1,41,-1,False,10000000
colliders,box,adopt_colliders,15,1,26,-1,False,10000000
colliders,box,provisional_build,16,1,356,-1,False,10000000
colliders,box,prepare_colliders,16,1,46,-1,False,10000000
colliders,box,adopt_colliders,16,1,25,-1,False,10000000
colliders,box,provisional_build,17,1,358,-1,False,10000000
colliders,box,prepare_colliders,17,1,47,-1,False,10000000
colliders,box,adopt_colliders,17,1,25,-1,False,10000000
colliders,box,provisional_build,18,1,373,-1,False,10000000
colliders,box,prepare_colliders,18,1,41,-1,False,10000000
colliders,box,adopt_colliders,18,1,26,-1,False,10000000
colliders,box,provisional_build,19,1,353,-1,False,10000000
colliders,box,prepare_colliders,19,1,42,-1,False,10000000
colliders,box,adopt_colliders,19,1,27,-1,False,10000000
colliders,box,provisional_build,20,1,345,-1,False,10000000
colliders,box,prepare_colliders,20,1,43,-1,False,10000000
colliders,box,adopt_colliders,20,1,27,-1,False,10000000
colliders,box,provisional_build,21,1,353,-1,False,10000000
colliders,box,prepare_colliders,21,1,44,-1,False,10000000
colliders,box,adopt_colliders,21,1,25,-1,False,10000000
colliders,box,provisional_build,22,1,369,-1,False,10000000
colliders,box,prepare_colliders,22,1,41,-1,False,10000000
colliders,box,adopt_colliders,22,1,26,-1,False,10000000
colliders,box,provisional_build,23,1,356,-1,False,10000000
colliders,box,prepare_colliders,23,1,45,-1,False,10000000
colliders,box,adopt_colliders,23,1,27,-1,False,10000000
colliders,box,provisional_build,24,1,363,-1,False,10000000
colliders,box,prepare_colliders,24,1,42,-1,False,10000000
colliders,box,adopt_colliders,24,1,27,-1,False,10000000
colliders,box,provisional_build,25,1,361,-1,False,10000000
colliders,box,prepare_colliders,25,1,41,-1,False,10000000
colliders,box,adopt_colliders,25,1,26,-1,False,10000000
colliders,box,provisional_build,26,1,352,-1,False,10000000
colliders,box,prepare_colliders,26,1,40,-1,False,10000000
colliders,box,adopt_colliders,26,1,27,-1,False,10000000
colliders,box,provisional_build,27,1,361,-1,False,10000000
colliders,box,prepare_colliders,27,1,44,-1,False,10000000
colliders,box,adopt_colliders,27,1,27,-1,False,10000000
colliders,box,provisional_build,28,1,349,-1,False,10000000
colliders,box,prepare_colliders,28,1,43,-1,False,10000000
colliders,box,adopt_colliders,28,1,27,-1,False,10000000
colliders,box,provisional_build,29,1,361,-1,False,10000000
colliders,box,prepare_colliders,29,1,43,-1,False,10000000
colliders,box,adopt_colliders,29,1,27,-1,False,10000000
colliders,box,provisional_build,30,1,356,-1,False,10000000
colliders,box,prepare_colliders,30,1,41,-1,False,10000000
colliders,box,adopt_colliders,30,1,28,-1,False,10000000
colliders,box,provisional_build,31,1,350,-1,False,10000000
colliders,box,prepare_colliders,31,1,42,-1,False,10000000
colliders,box,adopt_colliders,31,1,25,-1,False,10000000
colliders,box,provisional_build,32,1,349,-1,False,10000000
colliders,box,prepare_colliders,32,1,41,-1,False,10000000
colliders,box,adopt_colliders,32,1,26,-1,False,10000000
colliders,box,provisional_build,33,1,347,-1,False,10000000
colliders,box,prepare_colliders,33,1,53,-1,False,10000000
colliders,box,adopt_colliders,33,1,25,-1,False,10000000
colliders,box,provisional_build,34,1,352,-1,False,10000000
colliders,box,prepare_colliders,34,1,47,-1,False,10000000
colliders,box,adopt_colliders,34,1,26,-1,False,10000000
colliders,box,provisional_build,35,1,342,-1,False,10000000
colliders,box,prepare_colliders,35,1,49,-1,False,10000000
colliders,box,adopt_colliders,35,1,26,-1,False,10000000
colliders,box,provisional_build,36,1,359,-1,False,10000000
colliders,box,prepare_colliders,36,1,50,-1,False,10000000
colliders,box,adopt_colliders,36,1,28,-1,False,10000000
colliders,box,provisional_build,37,1,347,-1,False,10000000
colliders,box,prepare_colliders,37,1,42,-1,False,10000000
colliders,box,adopt_colliders,37,1,26,-1,False,10000000
colliders,box,provisional_build,38,1,344,-1,False,10000000
colliders,box,prepare_colliders,38,1,43,-1,False,10000000
colliders,box,adopt_colliders,38,1,27,-1,False,10000000
colliders,box,provisional_build,39,1,347,-1,False,10000000
colliders,box,prepare_colliders,39,1,40,-1,False,10000000
colliders,box,adopt_colliders,39,1,27,-1,False,10000000
colliders,box,provisional_build,40,1,349,-1,False,10000000
colliders,box,prepare_colliders,40,1,43,-1,False,10000000
colliders,box,adopt_colliders,40,1,27,-1,False,10000000
colliders,box,provisional_build,41,1,408,-1,False,10000000
colliders,box,prepare_colliders,41,1,40,-1,False,10000000
colliders,box,adopt_colliders,41,1,26,-1,False,10000000
colliders,box,provisional_build,42,1,395,-1,False,10000000
colliders,box,prepare_colliders,42,1,43,-1,False,10000000
colliders,box,adopt_colliders,42,1,27,-1,False,10000000
colliders,box,provisional_build,43,1,351,-1,False,10000000
colliders,box,prepare_colliders,43,1,42,-1,False,10000000
colliders,box,adopt_colliders,43,1,26,-1,False,10000000
colliders,box,provisional_build,44,1,342,-1,False,10000000
colliders,box,prepare_colliders,44,1,41,-1,False,10000000
colliders,box,adopt_colliders,44,1,26,-1,False,10000000
colliders,box,provisional_build,45,1,346,-1,False,10000000
colliders,box,prepare_colliders,45,1,48,-1,False,10000000
colliders,box,adopt_colliders,45,1,27,-1,False,10000000
colliders,box,provisional_build,46,1,349,-1,False,10000000
colliders,box,prepare_colliders,46,1,41,-1,False,10000000
colliders,box,adopt_colliders,46,1,26,-1,False,10000000
colliders,box,provisional_build,47,1,347,-1,False,10000000
colliders,box,prepare_colliders,47,1,41,-1,False,10000000
colliders,box,adopt_colliders,47,1,26,-1,False,10000000
