run,case,round,order,version,ticks,freq,iterations
"run2-paired-mass",box,0,0,baseline,40664,10000000,1024
"run2-paired-mass",box,0,1,candidate,40416,10000000,1024
"run2-paired-mass",box,0,2,candidate,40618,10000000,1024
"run2-paired-mass",box,0,3,baseline,40286,10000000,1024
"run2-paired-mass",box,1,0,baseline,40981,10000000,1024
"run2-paired-mass",box,1,1,candidate,40198,10000000,1024
"run2-paired-mass",box,1,2,candidate,40477,10000000,1024
"run2-paired-mass",box,1,3,baseline,40444,10000000,1024
"run2-paired-mass",box,2,0,baseline,42870,10000000,1024
"run2-paired-mass",box,2,1,candidate,40654,10000000,1024
"run2-paired-mass",box,2,2,candidate,40836,10000000,1024
"run2-paired-mass",box,2,3,baseline,40671,10000000,1024
"run2-paired-mass",box,3,0,baseline,40624,10000000,1024
"run2-paired-mass",box,3,1,candidate,40287,10000000,1024
"run2-paired-mass",box,3,2,candidate,40250,10000000,1024
"run2-paired-mass",box,3,3,baseline,40345,10000000,1024
"run2-paired-mass",box,4,0,baseline,41071,10000000,1024
"run2-paired-mass",box,4,1,candidate,40219,10000000,1024
"run2-paired-mass",box,4,2,candidate,40598,10000000,1024
"run2-paired-mass",box,4,3,baseline,41467,10000000,1024
"run2-paired-mass",box,5,0,baseline,40614,10000000,1024
"run2-paired-mass",box,5,1,candidate,40448,10000000,1024
"run2-paired-mass",box,5,2,candidate,40718,10000000,1024
"run2-paired-mass",box,5,3,baseline,40053,10000000,1024
"run2-paired-mass",box,6,0,baseline,40797,10000000,1024
"run2-paired-mass",box,6,1,candidate,40526,10000000,1024
"run2-paired-mass",box,6,2,candidate,39478,10000000,1024
"run2-paired-mass",box,6,3,baseline,41932,10000000,1024
"run2-paired-mass",box,7,0,baseline,39997,10000000,1024
"run2-paired-mass",box,7,1,candidate,40067,10000000,1024
"run2-paired-mass",box,7,2,candidate,39762,10000000,1024
"run2-paired-mass",box,7,3,baseline,40278,10000000,1024
"run2-paired-mass",character,0,0,baseline,44223,10000000,1024
"run2-paired-mass",character,0,1,candidate,44521,10000000,1024
"run2-paired-mass",character,0,2,candidate,45157,10000000,1024
"run2-paired-mass",character,0,3,baseline,43436,10000000,1024
"run2-paired-mass",character,1,0,baseline,43054,10000000,1024
"run2-paired-mass",character,1,1,candidate,44127,10000000,1024
"run2-paired-mass",character,1,2,candidate,42557,10000000,1024
"run2-paired-mass",character,1,3,baseline,42551,10000000,1024
"run2-paired-mass",character,2,0,baseline,41723,10000000,1024
"run2-paired-mass",character,2,1,candidate,42541,10000000,1024
"run2-paired-mass",character,2,2,candidate,40313,10000000,1024
"run2-paired-mass",character,2,3,baseline,41149,10000000,1024
"run2-paired-mass",character,3,0,baseline,42027,10000000,1024
"run2-paired-mass",character,3,1,candidate,40053,10000000,1024
"run2-paired-mass",character,3,2,candidate,39622,10000000,1024
"run2-paired-mass",character,3,3,baseline,40128,10000000,1024
"run2-paired-mass",character,4,0,baseline,40518,10000000,1024
"run2-paired-mass",character,4,1,candidate,39883,10000000,1024
"run2-paired-mass",character,4,2,candidate,40057,10000000,1024
"run2-paired-mass",character,4,3,baseline,39944,10000000,1024
"run2-paired-mass",character,5,0,baseline,42511,10000000,1024
"run2-paired-mass",character,5,1,candidate,41806,10000000,1024
"run2-paired-mass",character,5,2,candidate,39620,10000000,1024
"run2-paired-mass",character,5,3,baseline,40323,10000000,1024
"run2-paired-mass",character,6,0,baseline,39626,10000000,1024
"run2-paired-mass",character,6,1,candidate,39857,10000000,1024
"run2-paired-mass",character,6,2,candidate,39918,10000000,1024
"run2-paired-mass",character,6,3,baseline,40650,10000000,1024
"run2-paired-mass",character,7,0,baseline,41115,10000000,1024
"run2-paired-mass",character,7,1,candidate,39669,10000000,1024
"run2-paired-mass",character,7,2,candidate,39616,10000000,1024
"run2-paired-mass",character,7,3,baseline,39958,10000000,1024
