case,case_order,round,order,mode,warmup,span_id,span,ticks,thread_cycles,count,frequency,positive_colliders,negative_colliders,build_positive_first,activate_positive_first,published,validated,cleaned
box,0,-1,0,0,1,0,buildtotal,70210,14799221,1,10000000,1,1,1,0,1,1,1
box,0,-1,0,0,1,1,objects+,7691,1626295,1,10000000,1,1,1,0,1,1,1
box,0,-1,0,0,1,2,objects-,448,95253,1,10000000,1,1,1,0,1,1,1
box,0,-1,0,0,1,3,colliders+,887,188151,1,10000000,1,1,1,0,1,1,1
box,0,-1,0,0,1,4,colliders-,64,13975,1,10000000,1,1,1,0,1,1,1
box,0,-1,0,0,1,5,publishtotal,50743,10716682,1,10000000,1,1,1,0,1,1,1
box,0,-1,0,0,1,6,SetActive+,760,161751,1,10000000,1,1,1,0,1,1,1
box,0,-1,0,0,1,7,SetActive-,912,195207,1,10000000,1,1,1,0,1,1,1
box,0,-1,0,0,1,8,BuildSide+,14101,2970975,1,10000000,1,1,1,0,1,1,1
box,0,-1,0,0,1,9,BuildSide-,546,115002,1,10000000,1,1,1,0,1,1,1
box,0,-1,0,0,1,10,reserved10,0,0,0,10000000,1,1,1,0,1,1,1
box,0,-1,0,0,1,11,reserved11,0,0,0,10000000,1,1,1,0,1,1,1
box,0,-1,1,1,1,0,buildtotal,962,202652,1,10000000,1,1,0,0,1,1,1
box,0,-1,1,1,1,1,objects+,125,26718,1,10000000,1,1,0,0,1,1,1
box,0,-1,1,1,1,2,objects-,371,79056,1,10000000,1,1,0,0,1,1,1
box,0,-1,1,1,1,3,colliders+,27,6113,1,10000000,1,1,0,0,1,1,1
box,0,-1,1,1,1,4,colliders-,56,12393,1,10000000,1,1,0,0,1,1,1
box,0,-1,1,1,1,5,publishtotal,573,120605,1,10000000,1,1,0,0,1,1,1
box,0,-1,1,1,1,6,SetActive+,183,39028,1,10000000,1,1,0,0,1,1,1
box,0,-1,1,1,1,7,SetActive-,159,34024,1,10000000,1,1,0,0,1,1,1
box,0,-1,1,1,1,8,BuildSide+,171,35999,1,10000000,1,1,0,0,1,1,1
box,0,-1,1,1,1,9,BuildSide-,457,96359,1,10000000,1,1,0,0,1,1,1
box,0,-1,1,1,1,10,reserved10,0,0,0,10000000,1,1,0,0,1,1,1
box,0,-1,1,1,1,11,reserved11,0,0,0,10000000,1,1,0,0,1,1,1
box,0,-1,2,3,1,0,buildtotal,1001,211160,1,10000000,1,1,0,1,1,1,1
box,0,-1,2,3,1,1,objects+,132,28309,1,10000000,1,1,0,1,1,1,1
box,0,-1,2,3,1,2,objects-,407,86484,1,10000000,1,1,0,1,1,1,1
box,0,-1,2,3,1,3,colliders+,20,4647,1,10000000,1,1,0,1,1,1,1
box,0,-1,2,3,1,4,colliders-,59,12738,1,10000000,1,1,0,1,1,1,1
box,0,-1,2,3,1,5,publishtotal,759,160028,1,10000000,1,1,0,1,1,1,1
box,0,-1,2,3,1,6,SetActive+,348,73783,1,10000000,1,1,0,1,1,1,1
box,0,-1,2,3,1,7,SetActive-,57,12568,1,10000000,1,1,0,1,1,1,1
box,0,-1,2,3,1,8,BuildSide+,162,34147,1,10000000,1,1,0,1,1,1,1
box,0,-1,2,3,1,9,BuildSide-,482,101477,1,10000000,1,1,0,1,1,1,1
box,0,-1,2,3,1,10,reserved10,0,0,0,10000000,1,1,0,1,1,1,1
box,0,-1,2,3,1,11,reserved11,0,0,0,10000000,1,1,0,1,1,1,1
box,0,-1,3,2,1,0,buildtotal,947,200119,1,10000000,1,1,1,1,1,1,1
box,0,-1,3,2,1,1,objects+,374,79369,1,10000000,1,1,1,1,1,1,1
box,0,-1,3,2,1,2,objects-,163,34662,1,10000000,1,1,1,1,1,1,1
box,0,-1,3,2,1,3,colliders+,56,12174,1,10000000,1,1,1,1,1,1,1
box,0,-1,3,2,1,4,colliders-,23,5197,1,10000000,1,1,1,1,1,1,1
box,0,-1,3,2,1,5,publishtotal,622,130812,1,10000000,1,1,1,1,1,1,1
box,0,-1,3,2,1,6,SetActive+,317,67606,1,10000000,1,1,1,1,1,1,1
box,0,-1,3,2,1,7,SetActive-,59,12944,1,10000000,1,1,1,1,1,1,1
box,0,-1,3,2,1,8,BuildSide+,444,93548,1,10000000,1,1,1,1,1,1,1
box,0,-1,3,2,1,9,BuildSide-,195,41041,1,10000000,1,1,1,1,1,1,1
box,0,-1,3,2,1,10,reserved10,0,0,0,10000000,1,1,1,1,1,1,1
box,0,-1,3,2,1,11,reserved11,0,0,0,10000000,1,1,1,1,1,1,1
box,0,0,0,0,0,0,buildtotal,925,195216,1,10000000,1,1,1,0,1,1,1
box,0,0,0,0,0,1,objects+,362,77017,1,10000000,1,1,1,0,1,1,1
box,0,0,0,0,0,2,objects-,153,32849,1,10000000,1,1,1,0,1,1,1
