run,case,mesh_slots,round,order,region,version,ticks,freq,iterations,native_arrays,payload_bytes,cleared_payload_bytes
"editor-smoke1",box,2,0,-1,empty_batch,empty,12,10000000,1024,0,0,0
"editor-smoke1",box,2,0,0,allocation_release,baseline,10726,10000000,1024,4,66,2
"editor-smoke1",box,2,0,1,allocation_release,candidate,3277,10000000,1024,1,72,72
"editor-smoke1",box,2,0,2,allocation_release,candidate,3023,10000000,1024,1,72,72
"editor-smoke1",box,2,0,3,allocation_release,baseline,10408,10000000,1024,4,66,2
"editor-smoke1",box,2,1,-1,empty_batch,empty,12,10000000,1024,0,0,0
"editor-smoke1",box,2,1,0,allocation_release,baseline,10902,10000000,1024,4,66,2
"editor-smoke1",box,2,1,1,allocation_release,candidate,3427,10000000,1024,1,72,72
"editor-smoke1",box,2,1,2,allocation_release,candidate,3549,10000000,1024,1,72,72
"editor-smoke1",box,2,1,3,allocation_release,baseline,10575,10000000,1024,4,66,2
"editor-smoke1",box,2,2,-1,empty_batch,empty,11,10000000,1024,0,0,0
"editor-smoke1",box,2,2,0,allocation_release,baseline,11049,10000000,1024,4,66,2
"editor-smoke1",box,2,2,1,allocation_release,candidate,3517,10000000,1024,1,72,72
"editor-smoke1",box,2,2,2,allocation_release,candidate,3328,10000000,1024,1,72,72
"editor-smoke1",box,2,2,3,allocation_release,baseline,10354,10000000,1024,4,66,2
"editor-smoke1",box,2,3,-1,empty_batch,empty,10,10000000,1024,0,0,0
"editor-smoke1",box,2,3,0,allocation_release,baseline,10322,10000000,1024,4,66,2
"editor-smoke1",box,2,3,1,allocation_release,candidate,3203,10000000,1024,1,72,72
"editor-smoke1",box,2,3,2,allocation_release,candidate,3105,10000000,1024,1,72,72
"editor-smoke1",box,2,3,3,allocation_release,baseline,10170,10000000,1024,4,66,2
"editor-smoke1",box,2,4,-1,empty_batch,empty,11,10000000,1024,0,0,0
"editor-smoke1",box,2,4,0,allocation_release,baseline,12457,10000000,1024,4,66,2
"editor-smoke1",box,2,4,1,allocation_release,candidate,3358,10000000,1024,1,72,72
"editor-smoke1",box,2,4,2,allocation_release,candidate,3418,10000000,1024,1,72,72
"editor-smoke1",box,2,4,3,allocation_release,baseline,10377,10000000,1024,4,66,2
